season,level,team,league,G,PA,AB,H,HR,BB,SO,SB,AVG,OBP,SLG,OPS,BABIP
2018,A,Greenville Drive,South Atlantic League,30,134,128,47,1,5,22,12,0.367,0.396,0.477,0.873,0.438
2019,A+,Salem Red Sox,Carolina League,50,226,199,77,4,23,44,18,0.387,0.456,0.543,0.999,0.48
2019,AA,Portland Sea Dogs,Eastern League,82,352,320,80,1,23,84,28,0.25,0.309,0.325,0.634,0.335
2021,AAA,Worcester Red Sox,Triple-A East,60,283,244,63,16,30,66,16,0.258,0.357,0.516,0.873,0.288
2022,AAA,Worcester Red Sox,International League,68,307,279,79,10,26,73,18,0.283,0.349,0.491,0.84,0.352
2023,AAA,Worcester Red Sox,International League,11,51,41,8,2,10,11,2,0.195,0.353,0.439,0.792,0.214
