"last_name, first_name",player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,season
"Duran, Jarren",680776,2021,112,68,0.215,0.22,-0.005,0.336,0.308,0.028,0.247,0.246,0.001,2021
"Duran, Jarren",680776,2022,223,142,0.221,0.22,0.001,0.363,0.367,-0.004,0.284,0.286,-0.002,2022
"Duran, Jarren",680776,2023,362,244,0.295,0.266,0.0289999999999999,0.482,0.41,0.072,0.354,0.322,0.0319999999999999,2023
"Duran, Jarren",680776,2024,735,515,0.285,0.267,0.0179999999999999,0.492,0.456,0.0359999999999999,0.357,0.34,0.0169999999999999,2024
"Duran, Jarren",680776,2025,696,455,0.256,0.248,0.008,0.442,0.41,0.032,0.335,0.326,0.009,2025
"Duran, Jarren",680776,2026,343,216,0.194,0.226,-0.032,0.35,0.376,-0.026,0.263,0.287,-0.0239999999999999,2026
