age0,n,d_wrc,d_woba
20,3,5.30283645173358,0.00620339588118581
21,14,9.934453395968164,0.01619495771037218
22,38,3.0514469519988072,0.003847210149002846
23,66,-0.7831858958141872,-0.0004132345355721987
24,105,0.9013680326756579,-0.0002120566086877892
25,122,-2.4415821449961106,-0.00253379748053121
26,138,0.32639701914946856,-0.0015281233886296497
27,148,-4.404870720168624,-0.005743764817367033
28,126,-3.2082528077862946,-0.007059625067098392
29,117,-4.1762052175462685,-0.006905098871985514
30,118,-8.328791591357888,-0.012779376807204333
31,89,-5.9401002360618795,-0.009774362988642246
32,73,-10.692633272955176,-0.016355227675873982
33,56,-7.598328320207373,-0.011445044925584139
34,37,-2.9602348982298974,-0.005495799738529417
35,20,-12.402023042489095,-0.019279545729062497
36,7,-6.1703043818345265,-0.0074707822761103816
37,6,-13.776118224748332,-0.02362433700657926
38,6,-13.327365094371471,-0.021282093128417334
39,1,9.755309229174316,0.023742619533346998
40,1,-36.02639735215246,-0.05463652896900234
41,1,59.25157826523548,0.07745700835251679
