age0,n,d_wrc,d_woba
20,1,33.370842158018895,0.052994155808788024
21,6,17.594218767840438,0.029740170831962814
22,17,15.56733701611428,0.023905409144257754
23,28,8.677149052359784,0.013407359910597858
24,45,11.287048981232804,0.015756725227910228
25,58,7.147601194002798,0.012006942555245566
26,51,5.605772214602583,0.007246137316954686
27,55,1.2089092636059784,0.004173401086076535
28,40,-0.32218404906839293,-0.0014230905736510341
29,32,0.13077690496333005,0.0006466500951074049
30,30,-3.2984789532615753,-0.0019801776151590973
31,19,2.6086579197936537,0.00122942166284989
32,24,-2.534914485913171,-0.00564699155868621
33,19,-2.0325660250748903,-0.0034366943927862117
34,13,4.144023245341724,0.004525472928744607
35,5,4.770221411435024,0.008220633900825825
36,3,-6.34430977320783,-0.012209818990632485
37,1,15.284979923006603,0.02386045560044997
38,1,-9.037653208575222,0.0020584111887824164
