season,level,team,league,G,PA,AB,H,HR,BB,SO,SB,AVG,OBP,SLG,OPS,BABIP
2021,MLB,Boston Red Sox,American League,33,112,107,23,2,4,40,2,0.215,0.241,0.336,0.577,0.318
2022,MLB,Boston Red Sox,American League,58,223,204,45,3,14,63,7,0.221,0.283,0.363,0.646,0.302
2023,MLB,Boston Red Sox,American League,102,362,332,98,8,24,90,24,0.295,0.346,0.482,0.828,0.381
2024,MLB,Boston Red Sox,American League,160,735,671,191,21,54,160,34,0.285,0.342,0.492,0.834,0.345
2025,MLB,Boston Red Sox,American League,157,696,620,159,16,60,169,24,0.256,0.332,0.442,0.774,0.326
2026,MLB,Boston Red Sox,American League,78,339,312,61,12,21,102,12,0.196,0.251,0.353,0.604,0.244
