Name,Team,Season,Age,G,PA,AB,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,O-Swing%,Z-Contact%,Contact%,SwStr%,Spd
Mauricio Dubon,ATL,2026,31.0,80.0,323.0,298.0,8.0,0.265100671,0.317757009,0.416107382,0.733864391,0.151006711,0.289795918,0.32246704766312123,0.32161645889282225,102.58078785342657,1.695577282469563,0.139318885,0.065015479,0.05098039,0.29803922,86.45952690972223,0.39804469,0.93636364,0.85853659,0.07310924,3.689936018102054
Oneil Cruz,PIT,2026,27.0,64.0,283.0,250.0,14.0,0.264,0.349823321,0.472,0.821823321,0.208,0.376811594,0.3576124108983104,0.35819539716166837,124.86298480374258,1.627791310210056,0.346289752,0.106007067,0.16447368,0.59210526,95.9893359375,0.3319209,0.77777778,0.64554455,0.15457686,5.802303475886562
Fernando Tatis Jr.,SDP,2026,27.0,84.0,367.0,328.0,5.0,0.280487804,0.341530054,0.37804878,0.719578834,0.097560976,0.34117647,0.31919514479702465,0.357383707124893,104.55952987702565,1.6163582353247894,0.198910081,0.081743869,0.11111111,0.53256705,91.88185479005791,0.31007752,0.89258312,0.74167987,0.12274096,4.941909104837868
Trevor Larnach,MIN,2026,29.0,72.0,261.0,227.0,5.0,0.290748898,0.38076923,0.436123348,0.816892578,0.14537445,0.346590909,0.3618102430376767,0.3378573384524312,130.86329318303063,1.6054319511094526,0.17624521,0.114942528,0.07142857,0.33516484,86.81381107562154,0.31703204,0.84645669,0.74660633,0.10980392,3.6361403098475105
Samuel Antonacci,CHW,2026,23.0,66.0,267.0,227.0,5.0,0.295154185,0.39245283,0.427312775,0.819765605,0.13215859,0.336956521,0.3674732138525765,0.3735626858903428,135.25684551801643,1.6020885963649845,0.146067415,0.074906367,0.06806283,0.36649215,87.89572192513369,0.25666667,0.91549296,0.86757991,0.05513308,6.917385172365977
Garrett Mitchell,MIL,2026,27.0,74.0,263.0,227.0,6.0,0.26431718,0.358778625,0.440528634,0.799307259,0.176211454,0.406015037,0.35094525622225353,0.34074960175145175,122.9916587270775,1.576981633647975,0.338403041,0.121673003,0.13571429,0.5,92.80287488758992,0.27009646,0.76845638,0.65021459,0.15219421,6.029476469384361
Wyatt Langford,TEX,2026,24.0,40.0,173.0,162.0,8.0,0.277777777,0.323699421,0.5,0.823699421,0.222222223,0.316239316,0.35521818482117845,0.3030916996773957,128.51487341484835,1.5555779032501051,0.213872832,0.057803468,0.08,0.36,88.712,0.30704225,0.88625592,0.8,0.09785933,7.0886871962082445
Jake Bauers,MIL,2026,30.0,75.0,297.0,254.0,15.0,0.267716535,0.37037037,0.5,0.87037037,0.232283465,0.323170731,0.3757483180688352,0.35581036859361576,139.70763311895183,1.5325697818838449,0.255892255,0.131313131,0.12849162,0.52513966,92.4090417549435,0.24028777,0.85928144,0.750499,0.10279605,5.094808675383688
Jac Caglianone,KCR,2026,23.0,80.0,305.0,276.0,14.0,0.264492753,0.334426229,0.474637681,0.80906391,0.210144928,0.345029239,0.35249014291606967,0.3752889633178711,122.18744464022258,1.4692171839800225,0.298360655,0.081967213,0.16216216,0.58918919,93.90973395270271,0.37464387,0.8489426,0.71885522,0.14285714,4.582238548904049
Jung Hoo Lee,SFG,2026,27.0,78.0,314.0,295.0,5.0,0.318644067,0.350318471,0.454237288,0.804555759,0.135593221,0.337121212,0.35028409388414616,0.3209854903494477,124.17479507174487,1.4336572969477448,0.092356687,0.041401273,0.0260223,0.29739777,87.35767790262172,0.3221374,0.95398773,0.89199255,0.04978541,6.098375250201046
Daulton Varsho,TOR,2026,29.0,74.0,275.0,248.0,7.0,0.258064516,0.327272727,0.423387096,0.750659823,0.16532258,0.309782608,0.32717103508365897,0.3011164962153732,108.4451386043198,1.4119154938163163,0.21090909,0.087272727,0.06806283,0.39267016,86.00737047697369,0.39224806,0.89830508,0.81569343,0.09683605,6.096529350405296
Carson Benge,NYM,2026,23.0,84.0,343.0,316.0,10.0,0.25949367,0.317784256,0.401898734,0.71968299,0.142405064,0.311688311,0.3181722150252095,0.34605076585696937,103.43520325690938,1.3945197372597113,0.218658892,0.067055393,0.08298755,0.42323651,89.66401346757323,0.30188679,0.87817259,0.79968454,0.09019886,6.088994174583673
Tyler Soderstrom,ATH,2026,24.0,80.0,335.0,289.0,13.0,0.242214532,0.343283582,0.460207612,0.803491194,0.21799308,0.261467889,0.34736668019136274,0.3367968241373698,118.86744905781052,1.3807870177966068,0.176119402,0.128358208,0.0995671,0.44155844,89.91478430706522,0.28415301,0.888,0.80102916,0.09206349,3.210638019535307
Kody Clemens,MIN,2026,30.0,74.0,292.0,266.0,14.0,0.240601503,0.303448275,0.47368421,0.777132485,0.233082707,0.264550264,0.33497261712295373,0.34019133779737687,112.43172963014598,1.3682436391510722,0.215753424,0.065068493,0.12682927,0.46829268,92.74554262066832,0.34603175,0.84866469,0.77837838,0.10952805,5.7334270610918665
Cam Smith,HOU,2026,23.0,87.0,328.0,292.0,11.0,0.222602739,0.296636085,0.386986301,0.683622386,0.164383562,0.268656716,0.30176061811068006,0.33922221336835695,90.9652153203225,1.357483731516542,0.25304878,0.085365853,0.12206573,0.45070423,89.64688621411483,0.32275132,0.84061697,0.72037915,0.13268366,5.247705550959573
Casey Schmitt,SFG,2026,27.0,78.0,326.0,309.0,16.0,0.278317152,0.303680981,0.488673139,0.79235412,0.210355987,0.299145299,0.33952384912894545,0.3605159113957332,116.92294943708893,1.3349393189067302,0.193251533,0.021472392,0.128,0.436,89.66867469879519,0.39473684,0.912,0.8,0.10824742,4.778660210190778
Mickey Moniak,COL,2026,28.0,52.0,192.0,177.0,14.0,0.27118644,0.322916666,0.598870056,0.921786722,0.327683616,0.29059829,0.38891724807520706,0.3202935854593913,134.2633988153583,1.3036947864528627,0.244791666,0.057291666,0.13740458,0.41221374,89.8854961832061,0.45292621,0.88679245,0.74102564,0.1518797,5.058814473369822
Brandon Nimmo,TEX,2026,33.0,82.0,354.0,317.0,8.0,0.261829652,0.333333333,0.419558359,0.752891692,0.157728707,0.31512605,0.33062697537559965,0.3833143542238403,111.62610534055192,1.2325728006575467,0.206214689,0.081920903,0.1300813,0.52845528,92.65243902439025,0.31301939,0.89772727,0.81381381,0.09212481,4.224826279047326
Jacob Young,WSN,2026,26.0,83.0,277.0,258.0,8.0,0.224806201,0.275362318,0.375968992,0.65133131,0.151162791,0.25510204,0.2867336063713267,0.2993617109818892,78.98631956541112,1.2032132253988053,0.194945848,0.050541516,0.06341463,0.36097561,88.88258900808458,0.30155979,0.9,0.81531532,0.07884615,6.194277826985282
Colton Cowser,BAL,2026,26.0,77.0,214.0,185.0,8.0,0.227027027,0.319248826,0.372972972,0.692221798,0.145945945,0.293103448,0.30989839605322467,0.32298561776747725,97.42936494002889,1.139425646361571,0.294392523,0.116822429,0.12,0.352,86.47950819672131,0.28700361,0.79079498,0.67839196,0.13989071,3.5402592243374436
Taylor Ward,BAL,2026,32.0,87.0,400.0,328.0,5.0,0.25,0.3775,0.350609756,0.728109756,0.100609756,0.319502074,0.33379632757421124,0.34277297858905076,113.8420031149245,1.131731587855824,0.2125,0.165,0.05284553,0.39430894,89.27032520325203,0.16808511,0.89613527,0.82342657,0.06080674,2.419470966531005
Henry Bolte,ATH,2026,22.0,45.0,170.0,147.0,2.0,0.292517006,0.372781065,0.374149659,0.746930724,0.081632653,0.414141414,0.33745564405734724,0.30491279556365786,112.06074070888656,1.1130194995644953,0.282352941,0.082352941,0.05882353,0.47058824,90.43131510416667,0.31805158,0.8,0.68106312,0.15815486,4.354631675357832
JJ Bleday,CIN,2026,28.0,57.0,241.0,203.0,13.0,0.236453201,0.345833333,0.492610837,0.83844417,0.256157636,0.243055555,0.36165667453071565,0.366414291446219,124.6103487501717,1.0986315622120433,0.199170124,0.13692946,0.09493671,0.44303797,89.14615259415064,0.25461255,0.84827586,0.75934579,0.10796646,3.400653875791514
Chase DeLauter,CLE,2026,24.0,70.0,288.0,258.0,7.0,0.275193798,0.34375,0.42248062,0.76623062,0.147286822,0.297674418,0.33755549291769665,0.3420002359739492,116.16203294680071,1.0622590827284475,0.131944444,0.097222222,0.05405405,0.41891892,90.35227272727273,0.22690438,0.92615385,0.8688172,0.05555556,3.3193418971325874
Jake McCarthy,COL,2026,28.0,72.0,259.0,238.0,6.0,0.294117647,0.33203125,0.478991596,0.811022846,0.184873949,0.338624338,0.34880912979133427,0.3032471301508885,107.23261195982803,1.0322912467761503,0.177606177,0.054054054,0.05050505,0.25252525,85.08548597110214,0.38178295,0.88256228,0.80125523,0.10734463,7.52795137726312
