Name,Season,Age,PA,wRC+,WAR,wOBA,Spd,salary_2026
Jarren Duran,2025,28.0,696.0,111.15078705378288,3.910913748561841,0.3350495208237288,7.237121696850838,7700000
Wilyer Abreu,2025,26.0,417.0,110.09428943253836,2.416406715387907,0.3335158366646499,3.1629981585825613,810000
Ceddanne Rafaela,2025,24.0,587.0,91.48703384452844,3.8047195253257273,0.3065042726389349,6.799892759508759,2000000
Roman Anthony,2025,21.0,303.0,139.6254499087771,2.7276721185956436,0.3763852876798548,4.793568764958778,2625000
Masataka Yoshida,2025,31.0,205.0,88.3055666894198,-0.084782315968683,0.3018858374618902,3.3690366568608603,18600000
Nate Eaton,2025,28.0,90.0,102.34725013339678,0.3244571692292638,0.3222697049044491,6.790179533122855,760000
Jarren Duran,2026,29.0,403.0,58.00109785616541,-0.050441465935404,0.2600576128829178,6.670591273986748,7700000
Wilyer Abreu,2026,27.0,429.0,112.17956325549916,2.3303946890904306,0.3383344497400171,4.699001309166121,810000
Ceddanne Rafaela,2026,25.0,397.0,107.66595776789086,3.1862557342835105,0.3318132100226004,5.89114557100827,2000000
Roman Anthony,2026,22.0,130.0,92.17251371222764,0.2971831404946422,0.3094283420910207,5.274614413311127,2625000
Masataka Yoshida,2026,32.0,222.0,104.43209659633226,0.1991736369083988,0.3271409399337596,4.424543045592442,18600000
Nate Eaton,2026,29.0,39.0,62.45198914710183,0.0465962450326947,0.2664882433720124,5.469933677846718,760000
