player_id,player_name,pa,woba,xwoba
572228,"Voit, Luke",148,0.458,0.448
608385,"Winker, Jesse",60,0.478,0.445
592885,"Yelich, Christian",354,0.474,0.437
596129,"Vogelbach, Daniel",27,0.299,0.415
545361,"Trout, Mike",236,0.434,0.409
605141,"Betts, Mookie",324,0.44,0.404
518626,"Donaldson, Josh",60,0.396,0.403
460075,"Braun, Ryan",212,0.349,0.402
434778,"Morales, Kendrys",242,0.361,0.401
502110,"Martinez, J.D.",305,0.424,0.399
457759,"Turner, Justin",280,0.424,0.398
502054,"Pham, Tommy",264,0.404,0.396
660271,"Ohtani, Shohei",237,0.392,0.388
547180,"Harper, Bryce",343,0.395,0.386
598284,"O'Brien, Peter",74,0.366,0.384
572761,"Carpenter, Matt",354,0.381,0.384
502226,"Gentry, Craig",34,0.386,0.382
660670,"Acuña Jr., Ronald",348,0.404,0.382
624577,"Puig, Yasiel",190,0.38,0.382
519203,"Rizzo, Anthony",344,0.386,0.381
518692,"Freeman, Freddie",342,0.356,0.381
621559,"Moroff, Max",28,0.268,0.38
592206,"Castellanos, Nick",327,0.355,0.379
502671,"Goldschmidt, Paul",334,0.403,0.378
640461,"Pinder, Chad",147,0.352,0.377
443558,"Cruz, Nelson",299,0.333,0.377
475582,"Zimmerman, Ryan",198,0.385,0.376
594777,"Calhoun, Kole",324,0.343,0.375
543068,"Cron, C.J.",231,0.382,0.375
543685,"Rendon, Anthony",333,0.392,0.373
543305,"Hicks, Aaron",319,0.375,0.373
608336,"Gallo, Joey",257,0.371,0.372
592450,"Judge, Aaron",147,0.376,0.372
501981,"Davis, Khris",333,0.385,0.371
429664,"Canó, Robinson",179,0.37,0.37
665742,"Soto, Juan",351,0.374,0.369
592685,"Robinson, Drew",36,0.355,0.368
571970,"Muncy, Max",264,0.396,0.367
506703,"Sanchez, Adrián",36,0.342,0.367
596019,"Lindor, Francisco",370,0.351,0.366
457803,"Bruce, Jay",125,0.347,0.366
407812,"Holliday, Matt",65,0.377,0.366
435522,"Walker, Neil",218,0.339,0.365
605137,"Bell, Josh",259,0.364,0.365
488671,"Avila, Alex",113,0.336,0.364
593428,"Bogaerts, Xander",290,0.39,0.364
596115,"Story, Trevor",302,0.409,0.364
457705,"McCutchen, Andrew",332,0.351,0.363
503556,"Gonzalez, Marwin",258,0.345,0.363
592518,"Machado, Manny",355,0.367,0.363
573185,"Straily, Dan",25,0.341,0.362
576397,"Gyorko, Jedd",222,0.368,0.362
547989,"Abreu, José",204,0.344,0.361
458015,"Votto, Joey",264,0.349,0.361
614177,"Reyes, Franmil",189,0.388,0.36
572039,"Piscotty, Stephen",314,0.383,0.36
444482,"Peralta, David",287,0.374,0.36
456665,"Pearce, Steve",161,0.384,0.359
429665,"Encarnación, Edwin",272,0.362,0.359
650490,"Díaz, Yandy",120,0.346,0.359
598265,"Bradley Jr., Jackie",262,0.346,0.359
596847,"Choi, Ji Man",189,0.375,0.358
606988,"Greiner, Grayson",62,0.293,0.358
501896,"Freese, David",173,0.393,0.358
553902,"Astudillo, Willians",95,0.378,0.357
453568,"Blackmon, Charlie",345,0.387,0.357
500874,"Martínez, José A.",275,0.337,0.357
461314,"Kemp, Matt",234,0.329,0.355
516782,"Marte, Starling",308,0.347,0.355
571745,"Haniger, Mitch",328,0.369,0.354
542303,"Ozuna, Marcell",306,0.328,0.353
608324,"Bregman, Alex",334,0.409,0.352
502517,"Murphy, Daniel",299,0.36,0.352
571771,"Hernández, Enrique",233,0.346,0.351
425783,"Choo, Shin-Soo",296,0.322,0.351
572816,"Dickerson, Corey",239,0.355,0.351
466320,"Cabrera, Melky",212,0.356,0.35
623520,"Bote, David",177,0.322,0.35
607043,"Nimmo, Brandon",283,0.375,0.349
593160,"Merrifield, Whit",363,0.362,0.349
488726,"Brantley, Michael",320,0.355,0.348
571437,"Altherr, Aaron",64,0.303,0.348
455139,"Chirinos, Robinson",195,0.335,0.348
621514,"Stewart, Christin",72,0.348,0.347
459964,"Joyce, Matt",27,0.309,0.347
543768,"Shaw, Travis",278,0.352,0.347
596059,"Odor, Rougned",323,0.35,0.347
434158,"Granderson, Curtis",184,0.32,0.346
521692,"Perez, Salvador",287,0.33,0.346
656811,"O'Hearn, Ryan",170,0.398,0.345
624424,"Conforto, Michael",345,0.361,0.345
553993,"Suárez, Eugenio",317,0.354,0.345
608384,"Williams, Nick",238,0.335,0.345
649557,"Díaz, Aledmys",245,0.344,0.345
553882,"Narváez, Omar",182,0.382,0.344
621550,"Wisdom, Patrick",58,0.379,0.344
518735,"Grandal, Yasmani",256,0.385,0.344
641856,"McKinney, Billy",128,0.338,0.344
408045,"Mauer, Joe",323,0.314,0.344
592122,"Austin, Tyler",136,0.33,0.343
606466,"Marte, Ketel",271,0.361,0.343
657656,"Laureano, Ramón",176,0.357,0.343
571448,"Arenado, Nolan",334,0.374,0.342
592669,"Renfroe, Hunter",285,0.341,0.341
643217,"Benintendi, Andrew",303,0.34,0.34
607680,"Pillar, Kevin",215,0.307,0.34
592192,"Canha, Mark",186,0.329,0.34
600303,"La Stella, Tommy",81,0.318,0.34
545341,"Grichuk, Randal",294,0.354,0.34
595909,"Cave, Jake",273,0.339,0.34
476704,"Lowrie, Jed",321,0.329,0.339
605361,"Martini, Nick",169,0.373,0.338
542583,"Aguilar, Jesús",316,0.343,0.338
456715,"Cain, Lorenzo",308,0.351,0.338
621563,"Wendle, Joey",297,0.385,0.338
457708,"Upton, Justin",262,0.352,0.337
621566,"Olson, Matt",317,0.344,0.337
519317,"Stanton, Giancarlo",356,0.364,0.337
405395,"Pujols, Albert",171,0.312,0.336
642851,"Wynns, Austin",91,0.313,0.335
543228,"Gomes, Yan",209,0.326,0.335
624407,"Lin, Tzu-Wei",32,0.465,0.334
624428,"Frazier, Adam",196,0.375,0.334
571976,"Myers, Wil",268,0.332,0.334
608070,"Ramírez, José",341,0.366,0.334
656555,"Hoskins, Rhys",354,0.355,0.333
519306,"Souza Jr., Steven",225,0.321,0.333
609275,"Mondesi, Adalberto",255,0.353,0.333
592663,"Realmuto, J.T.",276,0.323,0.333
596146,"Kepler, Max",305,0.329,0.333
641598,"Garver, Mitch",176,0.353,0.333
543939,"Wong, Kolten",185,0.363,0.333
516770,"Castro, Starlin",291,0.319,0.332
581527,"Travis, Devon",209,0.291,0.332
595879,"Báez, Javier",337,0.369,0.332
605480,"Smith, Mallex",272,0.377,0.331
594809,"Eaton, Adam",276,0.361,0.331
664040,"Lowe, Brandon",148,0.334,0.33
460269,"Gimenez, Chris",34,0.368,0.33
543807,"Springer, George",246,0.346,0.33
452655,"Span, Denard",231,0.326,0.33
643446,"McNeil, Jeff",248,0.368,0.329
518614,"Descalso, Daniel",176,0.321,0.329
543257,"Grossman, Robbie",236,0.376,0.329
571788,"Holt, Brock",205,0.333,0.329
543302,"Herrmann, Chris",69,0.326,0.329
544369,"Gregorius, Didi",242,0.37,0.328
475253,"Smoak, Justin",279,0.353,0.327
595751,"Alfaro, Jorge",165,0.345,0.327
656305,"Chapman, Matt",336,0.389,0.327
430832,"Bautista, José",254,0.302,0.326
457727,"Maybin, Cameron",179,0.324,0.326
592178,"Bryant, Kris",146,0.338,0.326
641820,"Mancini, Trey",310,0.318,0.325
607345,"Smith, Kevan",127,0.318,0.325
460576,"Gómez, Carlos",144,0.313,0.325
541645,"García, Avisaíl",272,0.314,0.325
621311,"Dahl, David",174,0.37,0.324
663656,"Tucker, Kyle",72,0.207,0.324
444432,"Trumbo, Mark",163,0.33,0.324
656941,"Schwarber, Kyle",224,0.319,0.324
641658,"Hampson, Garrett",48,0.355,0.323
134181,"Beltré, Adrian",262,0.308,0.323
594988,"Schebler, Scott",175,0.308,0.323
622168,"Muñoz, Yairo",193,0.343,0.323
450314,"Zobrist, Ben",271,0.346,0.323
607208,"Turner, Trea",376,0.328,0.322
595777,"Profar, Jurickson",283,0.355,0.322
514888,"Altuve, Jose",226,0.328,0.322
467793,"Santana, Carlos",332,0.324,0.321
657077,"Verdugo, Alex",49,0.32,0.321
570256,"Polanco, Gregory",241,0.361,0.321
455104,"Iannetta, Chris",164,0.307,0.32
641531,"Dozier, Hunter",240,0.295,0.32
572008,"Owings, Chris",83,0.267,0.32
545350,"Marisnick, Jake",79,0.344,0.32
489149,"Morrison, Logan",87,0.273,0.32
643603,"White, Tyler",218,0.379,0.32
622569,"Reyes, Pablo",63,0.359,0.319
645302,"Robles, Victor",66,0.37,0.319
455976,"Markakis, Nick",344,0.315,0.319
571980,"Naquin, Tyler",65,0.264,0.319
605512,"Tucker, Preston",63,0.306,0.318
435559,"Suzuki, Kurt",175,0.307,0.317
435079,"Kinsler, Ian",227,0.308,0.317
553869,"Díaz, Elias",143,0.341,0.317
542255,"Inciarte, Ender",305,0.328,0.317
475174,"Alonso, Yonder",291,0.312,0.317
460086,"Gordon, Alex",310,0.306,0.316
519048,"Moreland, Mitch",213,0.264,0.316
543760,"Semien, Marcus",332,0.326,0.315
641933,"O'Neill, Tyler",101,0.347,0.315
543309,"Higashioka, Kyle",75,0.252,0.315
605119,"Anderson, Brian",308,0.321,0.315
643376,"Jansen, Danny",95,0.34,0.314
572122,"Seager, Kyle",281,0.268,0.314
593528,"Bonifacio, Jorge",263,0.297,0.314
621035,"Taylor, Chris",273,0.331,0.313
446263,"Duda, Lucas",199,0.324,0.313
657557,"DeJong, Paul",319,0.302,0.313
571718,"Goodwin, Brian",116,0.329,0.313
656185,"Allen, Greg",181,0.316,0.313
500871,"Escobar, Eduardo",312,0.333,0.313
448602,"Reynolds, Mark",134,0.353,0.313
641355,"Bellinger, Cody",301,0.348,0.312
606192,"Hernández, Teoscar",241,0.306,0.312
624512,"McGuire, Reese",33,0.385,0.312
664023,"Happ, Ian",221,0.312,0.312
425877,"Molina, Yadier",295,0.314,0.311
400121,"Martinez, Victor",222,0.294,0.311
666971,"Gurriel Jr., Lourdes",189,0.347,0.311
609280,"Andujar, Miguel",325,0.374,0.31
641319,"Asuaje, Carlos",97,0.273,0.309
642133,"Tellez, Rowdy",73,0.392,0.309
467827,"Parra, Gerardo",186,0.292,0.309
596748,"Franco, Maikel",213,0.346,0.309
621573,"Dean, Austin",122,0.281,0.309
465041,"Cervelli, Francisco",186,0.329,0.308
457763,"Posey, Buster",159,0.297,0.308
542340,"Villar, Jonathan",270,0.325,0.308
640447,"Ervin, Phillip",202,0.328,0.307
596142,"Sánchez, Gary",109,0.283,0.307
621002,"Robertson, Daniel",103,0.348,0.306
592567,"Moran, Colin",211,0.315,0.306
518934,"LeMahieu, DJ",310,0.317,0.306
471865,"González, Carlos",272,0.353,0.306
650402,"Torres, Gleyber",255,0.329,0.306
641505,"Davis, Jonathan",27,0.229,0.306
608700,"Plawecki, Kevin",182,0.286,0.305
592626,"Pederson, Joc",226,0.342,0.305
622534,"Margot, Manuel",263,0.286,0.305
431145,"Martin, Russell",136,0.325,0.305
543484,"Mahtook, Mikie",175,0.305,0.305
608597,"Guzmán, Ronald",219,0.315,0.304
474568,"Mercer, Jordy",155,0.291,0.304
446481,"Rodríguez, Sean",36,0.327,0.304
543401,"Kipnis, Jason",276,0.338,0.304
467092,"Ramos, Wilson",144,0.393,0.304
628336,"Fernández, José Miguel",90,0.319,0.304
594953,"Palka, Daniel",264,0.343,0.304
452254,"Pence, Hunter",142,0.282,0.303
606299,"Peraza, José",340,0.343,0.303
572233,"Walker, Christian",31,0.251,0.302
444489,"Piña, Manny",137,0.318,0.302
593871,"Polanco, Jorge",333,0.336,0.301
664058,"Fletcher, David",270,0.29,0.301
456078,"Castillo, Welington",58,0.258,0.301
592444,"Jones, JaCoby",193,0.275,0.301
591971,"Valera, Breyvic",41,0.289,0.3
