player_id,player_name,pa,woba,xwoba
592450,"Judge, Aaron",306,0.445,0.478
670541,"Alvarez, Yordan",78,0.435,0.448
695600,"Jensen, Carter",69,0.403,0.447
543807,"Springer, George",280,0.466,0.436
660271,"Ohtani, Shohei",342,0.416,0.43
608369,"Seager, Corey",215,0.401,0.417
665742,"Soto, Juan",344,0.396,0.409
656941,"Schwarber, Kyle",349,0.393,0.399
701762,"Kurtz, Nick",302,0.461,0.399
641933,"O'Neill, Tyler",116,0.323,0.399
701398,"Stewart, Sal",58,0.355,0.398
663330,"Jones, Jahmai",115,0.386,0.396
605137,"Bell, Josh",251,0.37,0.393
624585,"Soler, Jorge",50,0.399,0.393
700250,"Rice, Ben",254,0.375,0.392
660670,"Acuña Jr., Ronald",266,0.367,0.385
669065,"Stowers, Kyle",156,0.425,0.384
683737,"Busch, Michael",300,0.362,0.383
672695,"Perdomo, Geraldo",354,0.403,0.383
701350,"Anthony, Roman",230,0.4,0.381
521692,"Perez, Salvador",308,0.342,0.381
663757,"Grisham, Trent",299,0.352,0.381
695238,"Wagner, Will",75,0.315,0.379
657656,"Laureano, Ramón",295,0.355,0.378
683734,"Vaughn, Andrew",254,0.373,0.377
519317,"Stanton, Giancarlo",239,0.415,0.377
693307,"Dingler, Dillon",234,0.337,0.376
664023,"Happ, Ian",309,0.346,0.375
671056,"Herrera, Iván",281,0.345,0.373
665487,"Tatis Jr., Fernando",332,0.364,0.373
666160,"Moniak, Mickey",242,0.368,0.37
669257,"Smith, Will",172,0.367,0.37
686527,"Canzone, Dominic",204,0.361,0.37
606466,"Marte, Ketel",305,0.35,0.369
672515,"Moreno, Gabriel",121,0.367,0.368
694671,"Langford, Wyatt",281,0.361,0.368
571970,"Muncy, Max",79,0.368,0.368
677951,"Witt Jr., Bobby",319,0.376,0.367
624413,"Alonso, Pete",338,0.342,0.366
502054,"Pham, Tommy",248,0.339,0.366
682998,"Carroll, Corbin",319,0.358,0.366
669288,"Johnson, Daniel",29,0.256,0.366
805811,"Eldridge, Bryce",37,0.242,0.365
677594,"Rodríguez, Julio",333,0.372,0.363
665489,"Guerrero Jr., Vladimir",317,0.368,0.362
547180,"Harper, Bryce",323,0.367,0.362
691406,"Caminero, Junior",320,0.366,0.362
663728,"Raleigh, Cal",338,0.357,0.361
621043,"Correa, Carlos",300,0.343,0.361
680837,"Fitzgerald, Ryan",50,0.348,0.361
688760,"Crim, Blaine",61,0.352,0.361
672386,"Kirk, Alejandro",231,0.324,0.36
673357,"Robert Jr., Luis",146,0.348,0.359
596019,"Lindor, Francisco",356,0.369,0.359
695734,"Lile, Daylen",266,0.39,0.358
666182,"Bichette, Bo",249,0.426,0.355
669394,"Burger, Jake",127,0.321,0.355
666464,"Encarnacion, Jerar",34,0.318,0.355
676475,"Burleson, Alec",276,0.353,0.355
641343,"Bauers, Jake",95,0.343,0.355
621439,"Buxton, Byron",254,0.349,0.354
666176,"Adell, Jo",303,0.317,0.354
683146,"Baty, Brett",223,0.349,0.353
608701,"Refsnyder, Rob",103,0.349,0.353
621020,"Swanson, Dansby",296,0.307,0.353
683748,"Mesa Jr., Victor",28,0.299,0.353
642715,"Adames, Willy",328,0.364,0.353
646240,"Devers, Rafael",337,0.356,0.353
656537,"Hill, Derek",67,0.242,0.352
668901,"Vientos, Mark",242,0.322,0.352
575929,"Contreras, Willson",217,0.362,0.351
