player_id,player_name,pa,woba,xwoba
408234,"Cabrera, Miguel",335,0.419,0.476
545361,"Trout, Mike",337,0.419,0.433
489232,"Recker, Anthony",112,0.361,0.432
518692,"Freeman, Freddie",355,0.438,0.416
120074,"Ortiz, David",322,0.39,0.416
491696,"Sucre, Jesús",29,0.525,0.415
443558,"Cruz, Nelson",332,0.384,0.413
458015,"Votto, Joey",349,0.467,0.413
596115,"Story, Trevor",91,0.415,0.403
467793,"Santana, Carlos",354,0.397,0.402
518626,"Donaldson, Josh",346,0.395,0.396
596142,"Sánchez, Gary",225,0.432,0.396
405395,"Pujols, Albert",320,0.345,0.395
502517,"Murphy, Daniel",262,0.406,0.395
518934,"LeMahieu, DJ",337,0.401,0.394
446653,"Lobatón, Jose",43,0.359,0.391
572122,"Seager, Kyle",340,0.37,0.39
502110,"Martinez, J.D.",232,0.401,0.389
134181,"Beltré, Adrian",333,0.401,0.387
434670,"Ramirez, Hanley",298,0.412,0.386
434778,"Morales, Kendrys",328,0.349,0.384
452220,"Drew, Stephen",77,0.378,0.383
457708,"Upton, Justin",311,0.376,0.382
456714,"Butler, Billy",137,0.362,0.38
476883,"Álvarez, Pedro",194,0.376,0.378
474892,"Carter, Chris",333,0.354,0.377
459964,"Joyce, Matt",155,0.332,0.377
542979,"Broxton, Keon",173,0.395,0.374
429667,"Howard, Ryan",157,0.373,0.374
518735,"Grandal, Yasmani",255,0.402,0.373
592206,"Castellanos, Nick",132,0.321,0.373
501981,"Davis, Khris",325,0.361,0.372
453064,"Tulowitzki, Troy",313,0.339,0.372
429665,"Encarnación, Edwin",352,0.369,0.372
592178,"Bryant, Kris",355,0.401,0.372
519317,"Stanton, Giancarlo",187,0.369,0.371
435522,"Walker, Neil",171,0.395,0.371
474832,"Belt, Brandon",331,0.356,0.37
446481,"Rodríguez, Sean",179,0.367,0.369
444432,"Trumbo, Mark",332,0.341,0.369
571830,"Joseph, Tommy",211,0.38,0.369
434563,"Ruiz, Carlos",108,0.363,0.368
493316,"Cespedes, Yoenis",252,0.351,0.368
452234,"Smith, Seth",205,0.324,0.367
592626,"Pederson, Joc",214,0.382,0.366
592885,"Yelich, Christian",353,0.36,0.365
543685,"Rendon, Anthony",316,0.363,0.365
608596,"Murphy, Tom",49,0.417,0.364
570267,"Santana, Domingo",131,0.362,0.363
547989,"Abreu, José",355,0.379,0.362
592669,"Renfroe, Hunter",36,0.487,0.361
429711,"Gutierrez, Franklin",135,0.316,0.361
444379,"Jaso, John",169,0.346,0.361
502671,"Goldschmidt, Paul",349,0.365,0.358
516416,"Segura, Jean",348,0.398,0.358
605137,"Bell, Josh",152,0.339,0.358
543807,"Springer, George",374,0.351,0.357
457763,"Posey, Buster",316,0.338,0.356
452095,"Flowers, Tyler",150,0.355,0.356
608369,"Seager, Corey",344,0.367,0.356
519048,"Moreland, Mitch",239,0.314,0.355
