pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
KC,2023-08-20,83.5,-1.06,5.87,"Duran, Jarren",680776,657376,strikeout,swinging_strike,,,,,14.0,Jarren Duran strikes out swinging.,R,L,R,NYY,BOS,S,2.0,,0,2,2023,1.49,-0.54,0.342904917169133,1.0681138337174296,,,,2,4,Top,,,,,,,0.2872321078180427,-121.60263362491207,-3.4977618495766434,14.58039263325347,26.470213584600156,-36.91669635698265,3.42,1.71,,,,83.0,2905.0,6.2,716928,543309,518934,650402,643396,683011,641856,664056,641343,54.35,,0.0,0.0,1.0,0.0,0.0,,26,3,Knuckle Curve,1,1,1,1,1,1,1,1,Infield shade,Standard,44.0,0.008,-0.169,72.0,9.0,0.597993384,,0.169,,0,0,0.552,0.4479999999999999,27,26,27,27,2,1,6.0,1.0,6.0,,3.83,-1.49,1.49,42.2,13.302770871188304,-19.935654754858724,33.19923399081206,36.99519930713825,36.794628911864145
FC,2023-08-20,90.7,-1.49,5.57,"Duran, Jarren",680776,657376,,foul,,,,,6.0,,R,L,R,NYY,BOS,S,,,0,1,2023,0.2,0.43,0.5652588499341685,2.492664778230644,,,,2,4,Top,,,,,,,4.711699451320118,-132.12377920609913,-2.701866055427763,1.3803067799279405,27.680620188054657,-26.819534807733937,3.42,1.71,130.0,68.0,69.0,90.9,2716.0,6.3,716928,543309,518934,650402,643396,683011,641856,664056,641343,54.19,,,,,,,,26,2,Cutter,1,1,1,1,1,1,1,1,Infield shade,Standard,186.0,0.003,-0.061,72.8,7.6,,,0.061,88.0,0,0,0.549,0.4509999999999999,27,26,27,27,2,1,6.0,1.0,6.0,,2.34,-0.2,0.2,35.2,2.282414922281166,1.7627839662096574,34.49430721927371,33.46385362722479,25.320523762706365
SI,2023-08-20,93.0,-1.15,5.47,"Duran, Jarren",680776,657376,,foul,,,,,2.0,,R,L,R,NYY,BOS,S,,,0,0,2023,-0.96,0.65,0.0687891251233939,3.094500157684476,,,,2,4,Top,,,,,,,5.227028341105356,-135.4464426301578,-1.7601702517462496,-12.91732464539644,29.296336341324483,-23.955047819556253,3.42,1.71,,,,93.3,2647.0,6.4,716928,543309,518934,650402,643396,683011,641856,664056,641343,54.12,,,,,,,,26,1,Sinker,1,1,1,1,1,1,1,1,Infield shade,Standard,219.0,0.002,-0.045,74.3,7.3,,,0.045,,0,0,0.547,0.4529999999999999,27,26,27,27,2,1,6.0,1.0,6.0,,1.98,0.96,-0.96,34.4,-1.3277354114353277,16.87991584314708,28.256757535003892,39.90262606403381,19.01917877963823
ST,2023-08-20,85.6,-1.91,5.49,"Duran, Jarren",680776,657376,walk,ball,,,,,11.0,Jarren Duran walks.,R,L,R,NYY,BOS,B,,,3,1,2023,0.8,0.45,-1.1718874360050455,2.786953290207242,,,,1,2,Top,,,,,,,0.1239859799460227,-124.80790603896598,-1.1203587575284746,8.422277378995393,21.93811574555704,-27.395716488412223,3.36616900006087,1.63171375300402,,,,85.6,2802.0,5.9,716928,543309,518934,650402,643396,683011,641856,664056,641343,54.62,,0.695903,0.7,1.0,0.0,0.0,,10,5,Sweeper,0,1,1,0,1,0,1,0,Infield shade,Standard,104.0,-0.014,0.255,,,,,-0.255,,-1,1,0.409,0.591,27,26,27,27,1,0,6.0,1.0,6.0,,2.61,-0.8,0.8,31.9,,,,,
ST,2023-08-20,85.4,-1.83,5.38,"Duran, Jarren",680776,657376,,ball,,,,,13.0,,R,L,R,NYY,BOS,B,,,2,1,2023,0.49,0.13,-0.2036715407720446,1.1202484674054651,,,,1,2,Top,,,,,,,2.8471489628081987,-124.47751346239416,-4.099433879870558,4.657237086644362,22.192383843913937,-30.25720687505188,3.33996434339446,1.60562768915594,,,,86.0,2840.0,6.3,716928,543309,518934,650402,643396,683011,641856,664056,641343,54.19,,,,,,,,10,4,Sweeper,0,1,1,0,1,0,1,0,Infield shade,Standard,96.0,-0.007,0.122,,,,,-0.122,,-1,1,0.416,0.5840000000000001,27,26,27,27,1,0,6.0,1.0,6.0,,2.96,-0.49,0.49,26.8,,,,,
FC,2023-08-20,91.1,-1.42,5.6,"Duran, Jarren",680776,657376,,ball,,,,,12.0,,R,L,R,NYY,BOS,B,,,1,1,2023,0.28,0.67,1.6161097091576304,3.4800402376790833,,,,1,2,Top,,,,,,,7.027968125316347,-132.663153432198,-0.953683255799998,2.0487329230631053,23.80128173666725,-24.152746139450084,3.44479868775855,1.65780171338955,,,,91.8,2556.0,6.3,716928,543309,518934,650402,643396,683011,641856,664056,641343,54.17,,,,,,,,10,3,Cutter,0,1,1,0,1,0,1,0,Infield shade,Standard,208.0,-0.003,0.054,,,,,-0.054,,-1,1,0.419,0.581,27,26,27,27,1,0,6.0,1.0,6.0,,2.04,-0.28,0.28,32.7,,,,,
ST,2023-08-20,85.8,-2.07,5.46,"Duran, Jarren",680776,657376,,called_strike,,,,,1.0,,R,L,R,NYY,BOS,S,,,1,0,2023,0.84,0.17,-0.42134722802751,3.075284046351051,,,,1,2,Top,,,,,,,2.197351291215259,-125.15148599050704,0.1196341725005953,8.666872436177817,19.60168503982475,-30.5675526347342,3.31376229002927,1.55346118136764,,,,86.2,2851.0,5.9,716928,543309,518934,650402,643396,683011,641856,664056,641343,54.58,,,,,,,,10,2,Sweeper,0,1,1,0,1,0,1,0,Infield shade,Standard,90.0,0.003,-0.05,,,,,0.05,,-1,1,0.416,0.5840000000000001,27,26,27,27,1,0,6.0,1.0,6.0,,2.86,-0.84,0.84,28.2,,,,,
SI,2023-08-20,92.6,-1.73,5.37,"Duran, Jarren",680776,657376,,ball,,,,,14.0,,R,L,R,NYY,BOS,B,,,0,0,2023,-0.55,0.34,0.6656900263973652,0.6194937240384386,,,,1,2,Top,,,,,,,7.353307951335779,-134.67199960655094,-7.1793530369364085,-8.1540912814843,25.70650922435396,-26.71287297452538,3.47101385465239,1.70998339277079,,,,93.4,2420.0,6.5,716928,543309,518934,650402,643396,683011,641856,664056,641343,53.97,,,,,,,,10,1,Sinker,0,1,1,0,1,0,1,0,Infield shade,Standard,227.0,-0.002,0.039,,,,,-0.039,,-1,1,0.418,0.5820000000000001,27,26,27,27,1,0,6.0,1.0,6.0,,2.29,0.55,-0.55,27.8,,,,,
SI,2023-08-20,98.6,-2.14,5.5,"Duran, Jarren",680776,642528,field_out,hit_into_play,,,,,13.0,"Jarren Duran grounds out, third baseman Isiah Kiner-Falefa to first baseman DJ LeMahieu.",R,L,R,NYY,BOS,X,5.0,ground_ball,3,2,2023,-1.55,0.52,-0.9785312384249982,2.404693740736705,,,,1,8,Top,114.48,170.26,,,,,6.783448746934421,-143.39365912385804,-4.155704656346238,-22.972787259004463,34.08650458404498,-24.25164724101105,3.42,1.71,2.0,73.3,-48.0,98.6,2237.0,6.4,716928,666163,518934,650402,643396,683011,656185,664056,641856,54.11,0.213,0.199,0.0,1.0,0.0,0.0,2.0,64,6,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,228.0,0.043,-0.328,70.1,7.1,,0.217,0.328,88.0,0,0,0.539,0.4609999999999999,28,26,29,27,1,3,1.0,1.0,2.0,,1.83,1.55,-1.55,42.4,-3.6188830802156455,18.193401101775507,27.528639758769742,50.976961404137896,12.180807326502729
SI,2023-08-20,99.5,-1.89,5.56,"Duran, Jarren",680776,642528,,ball,,,,,14.0,,R,L,R,NYY,BOS,B,,,2,2,2023,-1.54,1.01,0.3704192877166192,0.5700328032741198,,,,1,8,Top,,,,,,,9.809057669495632,-144.2256955140705,-10.592142750766884,-23.82601718405608,36.3353419701998,-15.64288461861988,3.47133556982652,1.68407348359575,,,,99.1,2215.0,6.5,716928,666163,518934,650402,643396,683011,656185,664056,641856,54.03,,,,,,,,64,5,Sinker,5,5,5,5,5,5,5,5,Standard,Standard,229.0,-0.012,0.094,,,,,-0.094,,0,0,0.551,0.4489999999999999,28,26,29,27,1,3,1.0,1.0,2.0,,1.33,1.54,-1.54,46.7,,,,,
