pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SI,2024-09-29,91.7,2.5,5.08,"Duran, Jarren",680776,663992,,called_strike,,,,,9.0,,R,L,L,BOS,TB,S,,,0,0,2024,1.69,0.31,0.7828317544748522,1.616226111981904,,,,1,7,Bot,,,,,,,-8.15017987034021,-133.14212123546446,-3.522044246341965,21.81931390357525,31.43561263263923,-27.924472763826316,3.50054233022905,1.64515197340118,,,,93.0,2061.0,7.4,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.1,,,,,,,,56,1,Sinker,3,1,3,1,1,3,3,1,Standard,Standard,119.0,-0.001,-0.037,,,,,0.037,,2,2,0.876,0.876,28,27,29,28,1,3,4.0,1.0,,,2.44,1.69,1.69,12.9,,,,,
SL,2024-09-29,89.6,1.83,5.73,"Duran, Jarren",680776,682254,,called_strike,,,,,3.0,,R,L,L,BOS,TB,S,,,1,0,2024,-0.21,0.47,0.3891154548519068,3.051989576865763,,,,0,5,Bot,,,,,,,-3.155101626006764,-130.5353594427999,-1.6436622143177146,-1.7466485826813836,26.97439364204225,-26.68570544557955,3.35043628095684,1.61044879785905,,,,90.4,2523.0,6.7,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.8,,,,,,,,39,2,Slider,2,1,2,1,1,2,2,1,Standard,Standard,174.0,-0.004,-0.049,,,,,0.049,,1,1,0.711,0.711,24,27,24,28,1,2,5.0,1.0,,,2.36,-0.21,-0.21,49.2,,,,,
FC,2024-09-29,94.1,-0.94,6.22,"Duran, Jarren",680776,686752,,called_strike,,,,,8.0,,R,L,R,BOS,TB,S,,,0,1,2024,0.02,1.48,0.0672589555689428,1.8726032310477465,,,,0,1,Bot,,,,,,,2.5882641384430065,-136.91213660638735,-8.908024145241123,-0.3398740473980114,28.27613156796122,-11.79442631718022,3.37596059008767,1.55882348394014,,,,94.6,2386.0,6.5,746901,686482,666018,680700,691406,676609,666624,676356,666139,54.04,,,,,,,,5,2,Cutter,0,0,0,0,0,0,0,0,Infield shade,Standard,193.0,-0.006,-0.054,,,,,0.054,,0,0,0.545,0.545,26,27,27,28,1,0,5.0,1.0,,,1.08,-0.02,0.02,43.8,,,,,
FF,2024-09-29,96.3,1.45,5.93,"Duran, Jarren",680776,682254,,ball,,,,,11.0,,R,L,L,BOS,TB,B,,,0,0,2024,0.56,1.6,-0.4254222692236471,3.930463884175557,,,,0,5,Bot,,,,,,,-6.305849865469268,-140.0775915984824,-3.377575244278842,8.779551372394293,32.07773237403877,-10.59155596866579,3.42129169044867,1.64340352761963,,,,97.3,2153.0,6.9,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.6,,,,,,,,39,1,4-Seam Fastball,2,1,2,1,1,2,2,1,Standard,Standard,164.0,0.003,0.038,,,,,-0.038,,1,1,0.708,0.708,24,27,24,28,1,2,5.0,1.0,,,0.87,0.56,0.56,56.8,,,,,
FF,2024-09-29,95.3,-0.78,6.13,"Duran, Jarren",680776,686752,,foul,,,,,1.0,,R,L,R,BOS,TB,S,,,0,0,2024,-0.71,1.6,-0.6640059491846918,3.153476528095913,,,,0,1,Bot,,,,,,,1.910921997449429,-138.70601245392223,-5.800918395626519,-9.587179828906258,31.572983858394142,-10.473976802081538,3.61,1.72,261.0,80.0,44.0,95.7,2321.0,6.6,746901,686482,666018,680700,691406,676609,666624,676356,666139,53.94,,,,,,,,5,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,205.0,-0.003,-0.037,63.4,6.7,,,0.037,88.0,0,0,0.548,0.548,26,27,27,28,1,0,5.0,1.0,,,0.91,0.71,-0.71,50.1,-8.444217722886263,22.341760363571534,23.325358871951735,48.93674789330285,12.954354348386437
KC,2024-09-28,85.3,-1.47,5.7,"Duran, Jarren",680776,669358,hit_by_pitch,hit_by_pitch,,,,,14.0,Jarren Duran hit by pitch.,R,L,R,BOS,TB,B,,,0,2,2024,0.84,-1.05,2.3833636920789747,-0.3210138684603532,,,,0,6,Bot,,,,,,,7.383928451273093,-123.93384158996513,-5.688987046063077,6.969032835206194,26.830185826686986,-41.90169727575062,3.61,1.73,,,,85.1,2793.0,6.4,746902,666163,666018,664040,691406,670764,666624,642350,666139,54.08,,0.720192,0.7,1.0,0.0,0.0,,47,4,Knuckle Curve,1,6,1,6,6,1,1,6,Infield shade,Standard,41.0,0.029,0.542,,,,,-0.542,,-5,-5,0.052,0.052,25,27,25,28,3,2,6.0,1.0,,1.0,4.21,-0.84,0.84,43.8,,,,,
KC,2024-09-28,84.0,-1.42,5.63,"Duran, Jarren",680776,669358,,foul,,,,,8.0,,R,L,R,BOS,TB,S,,,0,2,2024,0.8,-1.27,-0.2120382099991715,1.938636692360698,,,,0,6,Bot,,,,,,,1.222004470578752,-122.31744300604645,0.4145044421989812,7.689724646948244,26.666918574521137,-45.10677495703324,3.61,1.73,298.0,93.5,32.0,84.0,2739.0,6.5,746902,666163,666018,664040,691406,670764,666624,642350,666139,53.99,,,,,,,,47,3,Knuckle Curve,1,6,1,6,6,1,1,6,Strategic,Standard,41.0,0.0,0.0,76.6,7.5,,,0.0,93.5,-5,-5,0.052,0.052,25,27,25,28,3,2,6.0,1.0,,1.0,4.52,-0.8,0.8,39.6,-1.0301563521616262,12.540519462449966,32.09279875927202,42.07820394287026,27.873045512135853
CH,2024-09-28,89.5,-1.57,5.59,"Duran, Jarren",680776,669358,,foul,,,,,11.0,,R,L,R,BOS,TB,S,,,0,1,2024,-1.15,0.72,-0.9366016287743252,3.203695069825715,,,,0,6,Bot,,,,,,,4.004563459878086,-130.28274016257438,-1.4188041361424268,-13.975622099478954,27.20850402589661,-23.89195458215799,3.61,1.73,,,,89.8,1872.0,6.4,746902,666163,666018,664040,691406,670764,666624,642350,666139,54.08,,,,,,,,47,2,Changeup,1,6,1,6,6,1,1,6,Infield shade,Standard,234.0,-0.003,-0.054,72.9,7.7,,,0.054,,-5,-5,0.055,0.055,25,27,25,28,3,2,6.0,1.0,,1.0,2.12,1.15,-1.15,33.1,5.801285819172696,6.709307225487132,16.86746286242424,51.354460545074915,25.082601209521822
KC,2024-09-28,82.3,-1.62,5.76,"Duran, Jarren",680776,669358,,swinging_strike,,,,,14.0,,R,L,R,BOS,TB,S,,,0,0,2024,0.8,-1.26,0.2864359572636795,0.7721903873999585,,,,0,6,Bot,,,,,,,2.788127523087283,-119.7790211548705,-2.2653671468496546,7.01966708508129,26.279823111058356,-43.90831240215224,3.61,1.73,,,,82.2,2682.0,6.5,746902,666163,666018,664040,691406,670764,666624,642350,666139,53.99,,,,,,,,47,1,Knuckle Curve,1,6,1,6,6,1,1,6,Infield shade,Standard,39.0,-0.002,-0.037,76.1,9.0,3.088692804,,0.037,,-5,-5,0.057,0.057,25,27,25,28,3,2,6.0,1.0,,1.0,4.66,-0.8,0.8,39.4,16.70698894865951,-27.02265128319808,33.87263302395066,38.005652003926926,49.95113915381957
KC,2024-09-28,83.8,-1.51,5.66,"Duran, Jarren",680776,669358,field_out,hit_into_play,,,,,9.0,"Jarren Duran grounds out, shortstop Taylor Walls to first baseman Jonathan Aranda.",R,L,R,BOS,TB,X,6.0,ground_ball,0,1,2024,0.91,-1.0,0.3044307072608414,1.627446842542955,,,,1,3,Bot,127.68,141.95,,,,,2.3820830088969673,-122.04268897219532,-0.9119832030958112,8.60644204185302,25.209074989388423,-42.12764306423515,3.61,1.73,21.0,88.0,-3.0,83.7,2720.0,6.3,746902,666163,666018,664040,691406,670764,666624,642350,666139,54.18,0.269,0.245,0.0,1.0,0.0,0.0,2.0,24,2,Knuckle Curve,1,2,1,2,2,1,1,2,Infield shade,Standard,46.0,-0.016,-0.219,75.3,7.7,,0.293,0.219,88.0,-1,-1,0.406,0.406,25,27,25,28,2,1,6.0,1.0,,1.0,4.25,-0.91,0.91,40.7,-4.141489988087497,8.760518797972312,34.888635693394825,36.20448525690459,26.17349861905688
