pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-07-22,97.0,0.44,6.09,"Chapman, Aroldis",702616,547973,,ball,,,,,4,,R,L,L,BOS,BAL,B,,,1,1,2026,0.26,1.37,-0.8111538971732825,2.1556195337606825,,,,0,9,Top,,,,,,,-3.9734953896636593,-141.26375517476845,-8.159567608953308,4.312342265752437,26.06193790270079,-12.23199313159749,3.168225066,1.598917323,,,,99.1,2440,7.0,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.48,,,,,,,,69,3,4-Seam Fastball,6,3,3,6,3,6,3,6,Standard,Standard,162,-0.005,0.064,,,,,-0.064,,3,-3,0.967,0.033,38,22,38,23,1,3,,,,,1.01,0.26,0.26,,,,,,
SL,2026-07-22,86.8,0.61,6.01,"Chapman, Aroldis",702616,547973,,ball,,,,,13,,R,L,L,BOS,BAL,B,,,0,1,2026,-0.55,0.58,-1.0482983266677608,0.4756464321311546,,,,0,9,Top,,,,,,,-2.8444997328264328,-126.36557768576738,-8.275951802909029,-5.493203243407115,20.63715198045097,-24.631492519456813,3.168225066,1.598917323,,,,89.3,2371,7.4,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.11,,,,,,,,69,2,Slider,6,3,3,6,3,6,3,6,Standard,Standard,287,-0.002,0.03,,,,,-0.03,,3,-3,0.969,0.031,38,22,38,23,1,3,,,,,2.39,-0.55,-0.55,,,,,,
FF,2026-07-22,95.8,0.7,6.16,"Chapman, Aroldis",702616,547973,,called_strike,,,,,6,,R,L,L,BOS,BAL,S,,,0,0,2026,0.18,1.41,0.4756821754926866,2.282157207137443,,,,0,9,Top,,,,,,,-1.012885271945127,-139.45668599016105,-7.774404202775557,2.584073806882077,28.762902016068704,-12.3125679983887,3.168225066,1.598917323,,,,97.5,2374,7.0,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.45,,,,,,,,69,1,4-Seam Fastball,6,3,3,6,3,6,3,6,Standard,Standard,163,0.003,-0.043,,,,,0.043,,3,-3,0.966,0.034,38,22,38,23,1,3,,,,,1.06,0.18,0.18,,,,,,
SL,2026-07-22,89.2,-1.03,5.87,"Whitlock, Garrett",687952,676477,field_out,hit_into_play,,,,,14,"Christian Encarnacion-Strand grounds out, second baseman Romy Gonzalez to first baseman Willson Contreras.",R,R,R,BOS,BAL,X,4,ground_ball,0,2,2026,-0.02,0.11,1.0448615220824298,1.277460968265971,,,,2,8,Top,123.5,140.57,,,,,5.153505770978275,-129.70731960634515,-5.218381601389761,-1.413508759422372,31.14789788871559,-29.972671699954414,3.234924541,1.63257874,8,101.0,-9,89.9,1972,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.4,0.293,0.273,0.0,1,0,0,2,64,3,Slider,6,3,3,6,3,6,3,6,Strategic,Standard,311,0.004,-0.152,73.4,7.5,,0.326,0.152,101.0,3,-3,0.968,0.032,30,26,30,27,1,3,,,,,2.8,0.02,0.02,,6.912115844704177,13.590804039434188,34.88737303557924,47.84112195702916,23.681948990205324
SL,2026-07-22,86.7,-1.09,5.86,"Whitlock, Garrett",687952,676477,,foul,,,,,9,,R,R,R,BOS,BAL,S,,,0,1,2026,0.0,0.01,0.4806169050119466,2.023225006099812,,,,2,8,Top,,,,,,,3.7515455169539473,-126.06447133409772,-2.589275584287725,-1.0129285344394827,32.35290447710959,-31.722049400348787,3.234924541,1.63257874,,,,86.6,1895,6.9,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.61,,,,,,,,64,2,Slider,6,3,3,6,3,6,3,6,Strategic,Standard,4,0.001,-0.063,75.1,8.0,,,0.063,,3,-3,0.967,0.033,30,26,30,27,1,3,,,,,3.1,0.0,0.0,,24.19656670387099,-13.1093868970327,34.431216341963975,42.63803022951405,42.705043207742946
SI,2026-07-22,96.0,-0.95,6.01,"Whitlock, Garrett",687952,676477,,called_strike,,,,,2,,R,R,R,BOS,BAL,S,,,0,0,2026,-0.71,1.47,-0.1493981247036724,2.799941410843675,,,,2,8,Top,,,,,,,3.782024785453703,-139.70661575755082,-6.2435055736272735,-10.144296139623927,28.6121966130703,-11.62883127676236,3.234924541,1.63257874,,,,98.0,2234,7.2,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.31,,,,,,,,64,1,Sinker,6,3,3,6,3,6,3,6,Strategic,Standard,229,0.001,-0.044,,,,,0.044,,3,-3,0.966,0.034,30,26,30,27,1,3,,,,,0.98,0.71,0.71,,,,,,
SI,2026-07-22,96.3,-0.97,5.99,"Whitlock, Garrett",665750,676477,field_out,hit_into_play,,,,,5,"Leody Taveras grounds out, second baseman Romy Gonzalez to first baseman Willson Contreras.",R,L,R,BOS,BAL,X,4,ground_ball,0,2,2026,-0.64,1.16,0.1060549120987949,2.3525147021078063,,,,1,8,Top,149.28,151.18,,,,,4.362231567671907,-140.2555215071844,-6.713163874611721,-9.420711682955076,27.16357333941009,-15.622825133731178,3.286704396,1.65871063,65,98.8,2,98.4,2263,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.4,0.426,0.384,0.0,1,0,0,4,63,4,Sinker,6,3,3,6,3,6,3,6,Standard,Standard,223,0.009,-0.165,78.0,7.3,,0.453,0.165,98.8,3,-3,0.957,0.043,30,27,30,28,1,3,,,,,1.27,0.64,-0.64,,2.93020213473104,2.8917616524002567,36.12882725184094,30.880076340671614,25.941512627463897
CH,2026-07-22,82.7,-1.32,5.75,"Whitlock, Garrett",665750,676477,,foul,,,,,14,,R,L,R,BOS,BAL,S,,,0,2,2026,-0.9,-0.43,0.2563821727116236,1.537758934269378,,,,1,8,Top,,,,,,,5.413200834355048,-120.36919965132591,-2.0376819763007377,-9.756952850463408,22.537505156498867,-36.22968747061864,3.286704396,1.65871063,267,83.7,24,84.1,2331,7.1,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.35,,,,,,,,63,3,Changeup,6,3,3,6,3,6,3,6,Standard,Standard,281,0.0,0.0,76.0,8.4,,,0.0,88.0,3,-3,0.957,0.043,30,27,30,28,1,3,,,,,3.76,0.9,-0.9,,18.30586740229597,-22.77005099819907,38.333795216121665,30.525395174895465,45.92079209908602
CH,2026-07-22,82.2,-1.14,5.76,"Whitlock, Garrett",665750,676477,,foul,,,,,5,,R,L,R,BOS,BAL,S,,,0,1,2026,-1.05,-0.37,0.1772457414953931,2.18803106785216,,,,1,8,Top,,,,,,,5.087080657331372,-119.85381414998248,-0.7605545434850933,-11.070206274599304,18.386360163529915,-35.89350107658109,3.286704396,1.65871063,141,81.5,12,84.2,2307,7.0,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.48,,,,,,,,63,2,Changeup,6,3,3,6,3,6,3,6,Standard,Standard,277,0.004,-0.057,78.0,8.0,,,0.057,88.0,3,-3,0.953,0.047,30,27,30,28,1,3,,,,,3.68,1.05,-1.05,,18.85270113865996,-18.49768690986623,35.74648007414224,30.667728472938403,46.09813297624692
SI,2026-07-22,95.2,-1.04,5.97,"Whitlock, Garrett",665750,676477,,called_strike,,,,,8,,R,L,R,BOS,BAL,S,,,0,0,2026,-0.81,1.36,-0.0954282187050229,2.07975698961015,,,,1,8,Top,,,,,,,4.364582004015096,-138.53073928144008,-7.651373575934369,-11.40833605682659,26.163908044063593,-13.118127497665837,3.286704396,1.65871063,,,,97.4,2329,7.2,824735,657136,575929,663853,702332,691907,680776,678882,677800,53.32,,,,,,,,63,1,Sinker,6,3,3,6,3,6,3,6,Standard,Standard,229,0.002,-0.042,,,,,0.042,,3,-3,0.951,0.049,30,27,30,28,1,3,,,,,1.12,0.81,-0.81,,,,,,
