pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2021-09-01,97.8,-0.84,6.1,"Duran, Jarren",680776,656876,strikeout,swinging_strike,,,,,2.0,Jarren Duran strikes out swinging.,R,L,R,TB,BOS,S,2.0,,0,2,2021,-0.46,1.75,0.0861721037556637,2.972957531251257,,543877.0,,1,2,Top,,,,,,,3.606977326794612,-142.22073681132366,-6.932559343208982,-7.1608251928191935,36.882323210743074,-7.149608450236211,3.467,1.589,,,,98.0,2505.0,6.7,632653,572287,650490,670764,621563,677551,656669,622534,668227,53.78,,0.0,0.0,1.0,0.0,0.0,,11,3,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,205.0,0.02,-0.189,,,,,0.189,,-1,1,0.391,0.609,25,24,26,25,1,0,8.0,2.0,6.0,,0.67,0.46,-0.46,58.4,,,,,
FF,2021-09-01,98.0,-1.08,5.99,"Duran, Jarren",680776,656876,,swinging_strike,,,,,3.0,,R,L,R,TB,BOS,S,,,0,1,2021,-0.47,1.73,0.5095458415395868,2.94196934401956,,543877.0,,1,2,Top,,,,,,,5.424035332450282,-142.48041814823765,-6.73883184653677,-7.754422044992395,36.43557358102365,-7.326812755881033,3.467,1.589,,,,98.4,2570.0,6.8,632653,572287,650490,670764,621563,677551,656669,622534,668227,53.67,,,,,,,,11,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,202.0,0.008,-0.064,,,,,0.064,,-1,1,0.383,0.617,25,24,26,25,1,0,8.0,2.0,6.0,,0.67,0.47,-0.47,56.6,,,,,
FF,2021-09-01,98.0,-0.91,6.08,"Duran, Jarren",680776,656876,,swinging_strike,,,,,9.0,,R,L,R,TB,BOS,S,,,0,0,2021,-0.57,1.59,0.5965481568164617,1.912572335661916,,543877.0,,1,2,Top,,,,,,,5.438442826678931,-142.27954676301457,-9.451395765309186,-9.113236946959365,35.86638444549414,-8.488453660051928,3.467,1.589,,,,98.3,2444.0,6.8,632653,572287,650490,670764,621563,677551,656669,622534,668227,53.72,,,,,,,,11,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,200.0,0.005,-0.037,,,,,0.037,,-1,1,0.378,0.622,25,24,26,25,1,0,8.0,2.0,6.0,,0.81,0.57,-0.57,60.6,,,,,
SL,2021-09-01,85.3,-0.19,6.96,"Duran, Jarren",680776,664126,single,hit_into_play,,,,,8.0,Jarren Duran singles on a ground ball to right fielder Manuel Margot. Rafael Devers scores. Alex Verdugo to 2nd.,R,L,R,TB,BOS,X,9.0,ground_ball,2,1,2021,0.26,-0.31,-0.0522739068167089,1.8346426974595509,,646240.0,657077.0,2,9,Top,193.42,112.15,,,,,-0.2015211039420941,-124.22854412540306,-5.1669781599566225,2.7441288379888555,25.71674497654806,-34.50778780872099,3.467,1.589,48.0,99.6,0.0,86.0,2375.0,6.8,632653,572287,650490,670764,621563,677551,668227,595281,622534,53.75,0.43,0.397,0.9,1.0,1.0,0.0,4.0,67,4,Slider,2,2,2,2,3,2,3,2,Standard,Standard,44.0,-0.346,0.513,,,,0.474,-0.513,99.6,0,0,0.516,0.484,27,24,28,25,1,3,2.0,2.0,2.0,,3.44,-0.26,0.26,67.3,,,,,
SL,2021-09-01,85.8,-0.32,7.03,"Duran, Jarren",680776,664126,,foul,,,,,8.0,,R,L,R,TB,BOS,S,,,2,0,2021,0.06,-0.26,0.1939292714850215,1.9799500732009456,,646240.0,657077.0,2,9,Top,,,,,,,1.093507564075186,-124.87371248453424,-5.162444637950928,0.3931673543136145,25.71953261225183,-34.08138361358759,3.467,1.589,6.0,84.8,-19.0,86.4,2277.0,6.7,632653,572287,650490,670764,621563,677551,668227,595281,622534,53.76,,,,,,,,67,3,Slider,2,2,2,2,2,2,2,2,Standard,Standard,43.0,0.012,-0.044,,,,,0.044,88.0,0,0,0.504,0.496,27,24,28,25,1,3,2.0,2.0,2.0,,3.36,-0.06,0.06,65.1,,,,,
FF,2021-09-01,94.2,-0.31,6.96,"Duran, Jarren",680776,664126,,ball,,,,,12.0,,R,L,R,TB,BOS,B,,,1,0,2021,0.11,1.45,1.210608432618287,4.488531684640782,,646240.0,657077.0,2,9,Top,,,,,,,3.74973898626904,-137.1903908851525,-3.980849450240834,0.5448782916513017,30.8614428833934,-13.137793606433732,3.14440238831613,1.5899999999949,,,,95.3,2241.0,6.9,632653,572287,650490,670764,621563,677551,668227,595281,622534,53.57,,,,,,,,67,2,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,185.0,-0.012,0.055,,,,,-0.055,,0,0,0.516,0.484,27,24,28,25,1,3,2.0,2.0,2.0,,1.11,-0.11,0.11,62.6,,,,,
SL,2021-09-01,84.3,-0.17,7.05,"Duran, Jarren",680776,664126,,ball,,,,,12.0,,R,L,R,TB,BOS,B,,,0,0,2021,0.09,-0.45,0.1977424036813963,3.711744347293444,,646240.0,657077.0,2,9,Top,,,,,,,0.686742090015067,-122.77281801203246,-0.5090319906961628,0.7720047429886197,23.685391590269443,-36.821474741401296,3.18636258873767,1.58999999999902,,,,85.5,2236.0,6.9,632653,572287,650490,670764,621563,677551,668227,595281,622534,53.56,,,,,,,,67,1,Slider,2,2,2,2,2,2,2,2,Standard,Standard,34.0,-0.006,0.035,,,,,-0.035,,0,0,0.522,0.478,27,24,28,25,1,3,2.0,2.0,2.0,,3.64,-0.09,0.09,68.2,,,,,
ST,2021-09-01,79.8,-2.04,5.11,"Duran, Jarren",680776,543521,strikeout,swinging_strike,,,,,14.0,Jarren Duran strikes out swinging.,R,L,R,TB,BOS,S,2.0,,1,2,2021,1.82,0.01,0.806195285880231,1.5045418430201916,,,,1,7,Top,,,,,,,2.8563083539782914,-116.18414434424088,-1.1012390339029996,15.60700454407686,25.530166204787005,-32.12042377062125,3.467,1.589,,,,79.8,2855.0,6.6,632653,572287,650490,670764,621563,677551,668227,595281,622534,53.87,,0.0,0.0,1.0,0.0,0.0,,50,4,Sweeper,2,2,2,2,2,2,2,2,Standard,Standard,54.0,0.02,-0.181,,,,,0.181,,0,0,0.548,0.4519999999999999,34,24,34,25,1,2,3.0,2.0,5.0,,3.62,-1.82,1.82,25.8,,,,,
FC,2021-09-01,88.6,-1.84,5.47,"Duran, Jarren",680776,543521,,swinging_strike,,,,,5.0,,R,L,R,TB,BOS,S,,,1,1,2021,0.26,0.83,0.2237645175719448,2.8190014756016284,,,,1,7,Top,,,,,,,4.5146144059593665,-128.9360608398471,-2.1184101926968832,1.9277190917518792,28.370972031438377,-22.66928576944853,3.467,1.589,,,,88.9,2455.0,6.6,632653,572287,650490,670764,621563,677551,668227,595281,622534,53.88,,,,,,,,50,3,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,218.0,0.008,-0.068,,,,,0.068,,0,0,0.54,0.4599999999999999,34,24,34,25,1,2,3.0,2.0,5.0,,2.08,-0.26,0.26,34.5,,,,,
FC,2021-09-01,87.5,-1.9,5.4,"Duran, Jarren",680776,543521,,swinging_strike,,,,,12.0,,R,L,R,TB,BOS,S,,,1,0,2021,0.51,0.73,0.8363338529131108,3.160730914784434,,,,1,7,Top,,,,,,,5.593232197846223,-127.24788496147691,-0.7027114672988936,4.201196410058331,28.52794516720753,-24.39622875100483,3.467,1.589,,,,87.7,2444.0,6.7,632653,572287,650490,670764,621563,677551,668227,595281,622534,53.84,,,,,,,,50,2,Cutter,2,2,2,2,2,2,2,2,Standard,Standard,200.0,0.005,-0.051,,,,,0.051,,0,0,0.535,0.4649999999999999,34,24,34,25,1,2,3.0,2.0,5.0,,2.28,-0.51,0.51,,,,,,
