playerid,Name,Age,PA,wOBA
15640,"<a href=""statss.aspx?playerid=15640&position=OF"">Aaron Judge</a>",32.0,370.0,0.47039033460222984
26289,"<a href=""statss.aspx?playerid=26289&position=SS"">Gunnar Henderson</a>",23.0,380.0,0.4162204297048121
25764,"<a href=""statss.aspx?playerid=25764&position=SS"">Bobby Witt Jr.</a>",24.0,377.0,0.3778616311403126
20123,"<a href=""statss.aspx?playerid=20123&position=OF"">Juan Soto</a>",25.0,371.0,0.42802248859019937
19755,"<a href=""statss.aspx?playerid=19755&position=DH"">Shohei Ohtani</a>",29.0,375.0,0.4315406090521877
24617,"<a href=""statss.aspx?playerid=24617&position=OF"">Jarren Duran</a>",27.0,385.0,0.362053622957319
26668,"<a href=""statss.aspx?playerid=26668&position=SS"">Elly De La Cruz</a>",22.0,359.0,0.3499388775128997
11579,"<a href=""statss.aspx?playerid=11579&position=OF"">Bryce Harper</a>",31.0,336.0,0.4097489216705648
13510,"<a href=""statss.aspx?playerid=13510&position=3B"">Jose Ramirez</a>",31.0,346.0,0.3730134469026711
27478,"<a href=""statss.aspx?playerid=27478&position=C"">Patrick Bailey</a>",25.0,222.0,0.34140989926066334
24610,"<a href=""statss.aspx?playerid=24610&position=OF"">Steven Kwan</a>",26.0,252.0,0.4161121434424503
13611,"<a href=""statss.aspx?playerid=13611&position=OF"">Mookie Betts</a>",31.0,331.0,0.38883329212125334
18345,"<a href=""statss.aspx?playerid=18345&position=OF"">Kyle Tucker</a>",27.0,262.0,0.41368688482504623
13613,"<a href=""statss.aspx?playerid=13613&position=2B"">Ketel Marte</a>",30.0,360.0,0.36722953918944584
14162,"<a href=""statss.aspx?playerid=14162&position=SS"">Carlos Correa</a>",29.0,275.0,0.3761598708875039
12916,"<a href=""statss.aspx?playerid=12916&position=SS"">Francisco Lindor</a>",30.0,367.0,0.3253908387971509
26288,"<a href=""statss.aspx?playerid=26288&position=C/DH"">Adley Rutschman</a>",26.0,357.0,0.3532856758056062
10815,"<a href=""statss.aspx?playerid=10815&position=OF"">Jurickson Profar</a>",31.0,347.0,0.38545357144397235
5361,"<a href=""statss.aspx?playerid=5361&position=1B"">Freddie Freeman</a>",34.0,372.0,0.3821344367445332
17350,"<a href=""statss.aspx?playerid=17350&position=3B"">Rafael Devers</a>",27.0,311.0,0.38638851436135035
21618,"<a href=""statss.aspx?playerid=21618&position=3B"">Alec Bohm</a>",27.0,351.0,0.3581375621046339
10324,"<a href=""statss.aspx?playerid=10324&position=DH/OF"">Marcell Ozuna</a>",33.0,347.0,0.40400954529729194
27647,"<a href=""statss.aspx?playerid=27647&position=SS"">Anthony Volpe</a>",23.0,390.0,0.3081657629296453
20036,"<a href=""statss.aspx?playerid=20036&position=3B"">Isaac Paredes</a>",25.0,332.0,0.3600817691196095
17338,"<a href=""statss.aspx?playerid=17338&position=2B/OF"">Willi Castro</a>",27.0,333.0,0.3529189302398636
26396,"<a href=""statss.aspx?playerid=26396&position=3B/SS"">Josh Smith</a>",26.0,296.0,0.3677524670857151
20503,"<a href=""statss.aspx?playerid=20503&position=C"">William Contreras</a>",26.0,364.0,0.3426189452163444
25493,"<a href=""statss.aspx?playerid=25493&position=3B/SS"">Joey Ortiz</a>",25.0,251.0,0.3645457537174225
22186,"<a href=""statss.aspx?playerid=22186&position=2B"">Brice Turang</a>",24.0,322.0,0.337685406955432
5417,"<a href=""statss.aspx?playerid=5417&position=2B"">Jose Altuve</a>",34.0,365.0,0.3562001713684627
19709,"<a href=""statss.aspx?playerid=19709&position=SS/OF"">Fernando Tatis Jr.</a>",25.0,345.0,0.3568095464637314
29490,"<a href=""statss.aspx?playerid=29490&position=OF"">Jackson Merrill</a>",21.0,307.0,0.34028747815050575
25976,"<a href=""statss.aspx?playerid=25976&position=OF"">Riley Greene</a>",23.0,352.0,0.3560388799028835
12927,"<a href=""statss.aspx?playerid=12927&position=OF"">Brandon Nimmo</a>",31.0,343.0,0.35773779164280806
27815,"<a href=""statss.aspx?playerid=27815&position=2B/3B"">Jordan Westburg</a>",25.0,320.0,0.3582399909772843
16505,"<a href=""statss.aspx?playerid=16505&position=3B"">Matt Chapman</a>",31.0,353.0,0.32075855331203534
