playerid,Name,Age,IP,ERA,FIP,GS
22267,"<a href=""statss.aspx?playerid=22267&position=P"">Tarik Skubal</a>",28.0,109.0,2.146789047174429,2.025044545949925,17.0
27463,"<a href=""statss.aspx?playerid=27463&position=P"">Garrett Crochet</a>",26.0,115.1,2.3410405075957557,2.597564053499614,18.0
10310,"<a href=""statss.aspx?playerid=10310&position=P"">Zack Wheeler</a>",35.0,107.0,2.271028077865816,2.5930802337779095,17.0
17995,"<a href=""statss.aspx?playerid=17995&position=P"">Logan Webb</a>",28.0,113.2,2.612903240421459,2.360942765489318,18.0
33677,"<a href=""statss.aspx?playerid=33677&position=P"">Paul Skenes</a>",23.0,106.0,2.1226415476284664,2.550230647304721,17.0
21455,"<a href=""statss.aspx?playerid=21455&position=P"">Kris Bubic</a>",27.0,96.0,2.2500000447034845,2.7080529763880703,16.0
13743,"<a href=""statss.aspx?playerid=13743&position=P"">Max Fried</a>",31.0,108.0,1.916666717440995,2.801802976043136,17.0
25880,"<a href=""statss.aspx?playerid=25880&position=P"">Hunter Brown</a>",26.0,98.0,1.7448979761639223,2.7371771306606294,16.0
22201,"<a href=""statss.aspx?playerid=22201&position=P"">MacKenzie Gore</a>",26.0,99.0,3.0909091504590034,2.9735201534769047,17.0
19959,"<a href=""statss.aspx?playerid=19959&position=P"">Jesus Luzardo</a>",27.0,95.1,4.05944065419472,2.7994719747074823,17.0
17295,"<a href=""statss.aspx?playerid=17295&position=P"">Framber Valdez</a>",31.0,109.0,2.7247706422018347,3.0525675108673376,17.0
10603,"<a href=""statss.aspx?playerid=10603&position=P"">Chris Sale</a>",36.0,89.1,2.5186568060439667,2.7097631687415835,15.0
10954,"<a href=""statss.aspx?playerid=10954&position=P"">Jacob deGrom</a>",37.0,95.1,2.0769231046252896,3.082688765059684,16.0
20778,"<a href=""statss.aspx?playerid=20778&position=P"">Cristopher Sanchez</a>",28.0,93.2,2.786476943982676,2.9963462788513278,16.0
31846,"<a href=""statss.aspx?playerid=31846&position=P"">Spencer Schwellenbach</a>",25.0,110.2,3.0903614901686502,3.2526061994120283,17.0
12768,"<a href=""statss.aspx?playerid=12768&position=P"">Sonny Gray</a>",35.0,93.2,3.3629893809109714,3.0070224370292267,16.0
9132,"<a href=""statss.aspx?playerid=9132&position=P"">Nathan Eovaldi</a>",35.0,72.1,1.8663594798138083,2.4438920664238952,13.0
33825,"<a href=""statss.aspx?playerid=33825&position=P"">Yoshinobu Yamamoto</a>",26.0,89.2,2.6096654737689766,3.2912701499707433,16.0
22294,"<a href=""statss.aspx?playerid=22294&position=P"">Matthew Liberatore</a>",25.0,92.1,3.7039711701427027,3.0918150179711996,16.0
