playerid,Name,Age,PA,wOBA
15640,"<a href=""statss.aspx?playerid=15640&position=OF"">Aaron Judge</a>",32.0,704.0,0.4757340011100992
25764,"<a href=""statss.aspx?playerid=25764&position=SS"">Bobby Witt Jr.</a>",24.0,709.0,0.40973835374627793
19755,"<a href=""statss.aspx?playerid=19755&position=DH"">Shohei Ohtani</a>",29.0,731.0,0.43054929176412915
20123,"<a href=""statss.aspx?playerid=20123&position=OF"">Juan Soto</a>",25.0,713.0,0.4205848819428188
26289,"<a href=""statss.aspx?playerid=26289&position=SS"">Gunnar Henderson</a>",23.0,719.0,0.38146476194387025
12916,"<a href=""statss.aspx?playerid=12916&position=SS"">Francisco Lindor</a>",30.0,689.0,0.36288581496572286
24617,"<a href=""statss.aspx?playerid=24617&position=OF"">Jarren Duran</a>",27.0,735.0,0.3568673902286514
26668,"<a href=""statss.aspx?playerid=26668&position=SS"">Elly De La Cruz</a>",22.0,696.0,0.34864824028373453
13510,"<a href=""statss.aspx?playerid=13510&position=3B"">Jose Ramirez</a>",31.0,682.0,0.3642762730118049
13613,"<a href=""statss.aspx?playerid=13613&position=2B"">Ketel Marte</a>",30.0,583.0,0.3909995480337077
20503,"<a href=""statss.aspx?playerid=20503&position=C"">William Contreras</a>",26.0,679.0,0.3587271837346278
16505,"<a href=""statss.aspx?playerid=16505&position=3B"">Matt Chapman</a>",31.0,647.0,0.34013576694527026
21534,"<a href=""statss.aspx?playerid=21534&position=C"">Cal Raleigh</a>",27.0,628.0,0.32256641812049425
29490,"<a href=""statss.aspx?playerid=29490&position=OF"">Jackson Merrill</a>",21.0,593.0,0.351507786788097
19611,"<a href=""statss.aspx?playerid=19611&position=1B"">Vladimir Guerrero Jr.</a>",25.0,697.0,0.39789022276871394
19556,"<a href=""statss.aspx?playerid=19556&position=DH/OF"">Yordan Alvarez</a>",27.0,635.0,0.40158736975397163
19627,"<a href=""statss.aspx?playerid=19627&position=DH/OF"">Brent Rooker</a>",29.0,614.0,0.39218441668103954
11579,"<a href=""statss.aspx?playerid=11579&position=OF"">Bryce Harper</a>",31.0,631.0,0.38021706340771305
15986,"<a href=""statss.aspx?playerid=15986&position=SS"">Willy Adames</a>",28.0,688.0,0.34193181539103934
