playerid,Name,Age,PA,wOBA
15640,"<a href=""statss.aspx?playerid=15640&position=OF"">Aaron Judge</a>",33.0,373.0,0.4775713631519177
21534,"<a href=""statss.aspx?playerid=21534&position=C"">Cal Raleigh</a>",28.0,367.0,0.42480301472987114
21636,"<a href=""statss.aspx?playerid=21636&position=SS"">Jeremy Pena</a>",27.0,350.0,0.37478355446766165
19755,"<a href=""statss.aspx?playerid=19755&position=DH"">Shohei Ohtani</a>",30.0,385.0,0.4197832873479568
27769,"<a href=""statss.aspx?playerid=27769&position=OF"">Pete Crow-Armstrong</a>",23.0,349.0,0.35157904642215676
18345,"<a href=""statss.aspx?playerid=18345&position=OF"">Kyle Tucker</a>",28.0,370.0,0.3929653193996629
25764,"<a href=""statss.aspx?playerid=25764&position=SS"">Bobby Witt Jr.</a>",25.0,368.0,0.3462760608169914
16252,"<a href=""statss.aspx?playerid=16252&position=SS"">Trea Turner</a>",32.0,372.0,0.34677036298859504
25878,"<a href=""statss.aspx?playerid=25878&position=OF"">Corbin Carroll</a>",24.0,323.0,0.3843069170942958
22715,"<a href=""statss.aspx?playerid=22715&position=3B"">Maikel Garcia</a>",25.0,340.0,0.3650528218971907
13510,"<a href=""statss.aspx?playerid=13510&position=3B"">Jose Ramirez</a>",32.0,334.0,0.3676478795319887
26668,"<a href=""statss.aspx?playerid=26668&position=SS"">Elly De La Cruz</a>",23.0,366.0,0.36456464136076105
14161,"<a href=""statss.aspx?playerid=14161&position=OF"">Byron Buxton</a>",31.0,288.0,0.3823443259392585
29518,"<a href=""statss.aspx?playerid=29518&position=OF"">James Wood</a>",22.0,373.0,0.39313848622857706
19709,"<a href=""statss.aspx?playerid=19709&position=SS/OF"">Fernando Tatis Jr.</a>",26.0,359.0,0.34281127121341365
33266,"<a href=""statss.aspx?playerid=33266&position=SS"">Jacob Wilson</a>",23.0,343.0,0.37014827385675875
13613,"<a href=""statss.aspx?playerid=13613&position=2B"">Ketel Marte</a>",31.0,251.0,0.41747313786132134
19197,"<a href=""statss.aspx?playerid=19197&position=C"">Will Smith</a>",30.0,264.0,0.4037607242212151
22581,"<a href=""statss.aspx?playerid=22581&position=C"">Alejandro Kirk</a>",26.0,275.0,0.34342634416844725
25768,"<a href=""statss.aspx?playerid=25768&position=SS"">CJ Abrams</a>",24.0,319.0,0.3660162519957365
24816,"<a href=""statss.aspx?playerid=24816&position=OF"">Andy Pages</a>",24.0,329.0,0.3531349997027667
22799,"<a href=""statss.aspx?playerid=22799&position=SS"">Geraldo Perdomo</a>",25.0,366.0,0.3379331342466585
12916,"<a href=""statss.aspx?playerid=12916&position=SS"">Francisco Lindor</a>",31.0,376.0,0.33250794149337604
20123,"<a href=""statss.aspx?playerid=20123&position=OF"">Juan Soto</a>",26.0,371.0,0.38389245261911487
19251,"<a href=""statss.aspx?playerid=19251&position=1B"">Pete Alonso</a>",30.0,371.0,0.39179185509358644
16478,"<a href=""statss.aspx?playerid=16478&position=DH/OF"">Kyle Schwarber</a>",32.0,375.0,0.38993133999205926
25976,"<a href=""statss.aspx?playerid=25976&position=OF"">Riley Greene</a>",24.0,348.0,0.3771812105041416
24610,"<a href=""statss.aspx?playerid=24610&position=OF"">Steven Kwan</a>",27.0,342.0,0.339468298589482
11493,"<a href=""statss.aspx?playerid=11493&position=3B"">Manny Machado</a>",32.0,356.0,0.3571477040438585
26289,"<a href=""statss.aspx?playerid=26289&position=SS"">Gunnar Henderson</a>",24.0,329.0,0.34360257974037756
17678,"<a href=""statss.aspx?playerid=17678&position=3B"">Alex Bregman</a>",31.0,226.0,0.39957116497887507
27479,"<a href=""statss.aspx?playerid=27479&position=SS"">Masyn Winn</a>",23.0,312.0,0.3163336377435175
16505,"<a href=""statss.aspx?playerid=16505&position=3B"">Matt Chapman</a>",32.0,272.0,0.3559303735108936
12552,"<a href=""statss.aspx?playerid=12552&position=3B"">Eugenio Suarez</a>",33.0,336.0,0.37511074365074953
13301,"<a href=""statss.aspx?playerid=13301&position=1B/3B"">Max Muncy</a>",34.0,309.0,0.3657083099151587
21479,"<a href=""statss.aspx?playerid=21479&position=2B/SS"">Nico Hoerner</a>",28.0,330.0,0.31669596180771337
14344,"<a href=""statss.aspx?playerid=14344&position=1B"">Matt Olson</a>",31.0,365.0,0.36232735822488976
15998,"<a href=""statss.aspx?playerid=15998&position=1B/OF"">Cody Bellinger</a>",29.0,324.0,0.3397179720202467
21837,"<a href=""statss.aspx?playerid=21837&position=1B"">Jonathan Aranda</a>",27.0,312.0,0.3916300826517332
19722,"<a href=""statss.aspx?playerid=19722&position=C"">Carlos Narvaez</a>",26.0,250.0,0.34745446586608886
24262,"<a href=""statss.aspx?playerid=24262&position=OF"">Ceddanne Rafaela</a>",24.0,299.0,0.312066021601896
23697,"<a href=""statss.aspx?playerid=23697&position=OF"">Julio Rodriguez</a>",24.0,377.0,0.3140396666019521
24679,"<a href=""statss.aspx?playerid=24679&position=2B/OF"">Brendan Donovan</a>",28.0,340.0,0.3438578283502942
20352,"<a href=""statss.aspx?playerid=20352&position=2B/3B"">Ernie Clement</a>",29.0,293.0,0.33126813750778517
29622,"<a href=""statss.aspx?playerid=29622&position=OF"">Sal Frelick</a>",25.0,332.0,0.3350485014769197
19392,"<a href=""statss.aspx?playerid=19392&position=3B/OF"">Zach McKinstry</a>",30.0,287.0,0.3470637996991475
20036,"<a href=""statss.aspx?playerid=20036&position=3B"">Isaac Paredes</a>",26.0,346.0,0.35928093697983404
26151,"<a href=""statss.aspx?playerid=26151&position=OF"">Kyle Stowers</a>",27.0,301.0,0.3660295609646418
16442,"<a href=""statss.aspx?playerid=16442&position=1B"">Ryan O'Hearn</a>",31.0,278.0,0.3708142881359004
5361,"<a href=""statss.aspx?playerid=5361&position=1B"">Freddie Freeman</a>",35.0,306.0,0.37966559792673865
28163,"<a href=""statss.aspx?playerid=28163&position=3B"">Junior Caminero</a>",21.0,333.0,0.34739035009979846
15491,"<a href=""statss.aspx?playerid=15491&position=SS"">J.P. Crawford</a>",30.0,354.0,0.3415259365365977
18401,"<a href=""statss.aspx?playerid=18401&position=OF"">Ronald Acuna Jr.</a>",27.0,146.0,0.468564441634549
16997,"<a href=""statss.aspx?playerid=16997&position=2B"">Gleyber Torres</a>",28.0,311.0,0.3615063371382342
20308,"<a href=""statss.aspx?playerid=20308&position=OF"">Jake Meyers</a>",29.0,297.0,0.33439331216327217
20454,"<a href=""statss.aspx?playerid=20454&position=2B/OF"">Jazz Chisholm Jr.</a>",27.0,224.0,0.3591211229696402
17350,"<a href=""statss.aspx?playerid=17350&position=3B"">Rafael Devers</a>",28.0,392.0,0.3726010499062476
19611,"<a href=""statss.aspx?playerid=19611&position=1B"">Vladimir Guerrero Jr.</a>",26.0,363.0,0.3639309965698413
19522,"<a href=""statss.aspx?playerid=19522&position=OF"">TJ Friedl</a>",29.0,361.0,0.3463503387977154
26319,"<a href=""statss.aspx?playerid=26319&position=1B"">Michael Busch</a>",27.0,292.0,0.375272434806496
27464,"<a href=""statss.aspx?playerid=27464&position=C"">Dillon Dingler</a>",26.0,235.0,0.3154568877625973
29715,"<a href=""statss.aspx?playerid=29715&position=C"">Hunter Goodman</a>",25.0,310.0,0.3603855627198373
19290,"<a href=""statss.aspx?playerid=19290&position=OF"">Randy Arozarena</a>",30.0,360.0,0.34181591777084264
23772,"<a href=""statss.aspx?playerid=23772&position=OF"">Wilyer Abreu</a>",26.0,269.0,0.3449261672091934
30116,"<a href=""statss.aspx?playerid=30116&position=DH/OF"">Seiya Suzuki</a>",30.0,355.0,0.35813532328941455
12161,"<a href=""statss.aspx?playerid=12161&position=SS"">Xander Bogaerts</a>",32.0,331.0,0.30721066056228263
22186,"<a href=""statss.aspx?playerid=22186&position=2B"">Brice Turang</a>",25.0,347.0,0.3290356912709385
21711,"<a href=""statss.aspx?playerid=21711&position=SS/OF"">Oneil Cruz</a>",26.0,325.0,0.32217967584497087
18314,"<a href=""statss.aspx?playerid=18314&position=SS"">Dansby Swanson</a>",31.0,349.0,0.3115937876426521
31349,"<a href=""statss.aspx?playerid=31349&position=OF"">Victor Scott II</a>",24.0,283.0,0.3009537723329332
19627,"<a href=""statss.aspx?playerid=19627&position=DH/OF"">Brent Rooker</a>",30.0,379.0,0.3627312479044328
12979,"<a href=""statss.aspx?playerid=12979&position=SS"">Javier Baez</a>",32.0,254.0,0.3375550515539064
13620,"<a href=""statss.aspx?playerid=13620&position=C"">Carson Kelly</a>",30.0,199.0,0.3594599075652846
22542,"<a href=""statss.aspx?playerid=22542&position=OF"">Lawrence Butler</a>",24.0,360.0,0.3252574808067746
27562,"<a href=""statss.aspx?playerid=27562&position=C"">Austin Wells</a>",25.0,258.0,0.29773343117662177
19608,"<a href=""statss.aspx?playerid=19608&position=2B/SS"">Otto Lopez</a>",26.0,278.0,0.31755344532026714
13611,"<a href=""statss.aspx?playerid=13611&position=OF"">Mookie Betts</a>",32.0,343.0,0.3101642098594621
17128,"<a href=""statss.aspx?playerid=17128&position=OF"">Ramon Laureano</a>",30.0,193.0,0.37912144667158526
12927,"<a href=""statss.aspx?playerid=12927&position=OF"">Brandon Nimmo</a>",32.0,332.0,0.331043490830505
19352,"<a href=""statss.aspx?playerid=19352&position=C"">Sean Murphy</a>",30.0,189.0,0.33477549413417246
20503,"<a href=""statss.aspx?playerid=20503&position=C"">William Contreras</a>",27.0,336.0,0.31493793230458916
18564,"<a href=""statss.aspx?playerid=18564&position=OF"">Trent Grisham</a>",28.0,282.0,0.35413269180778073
33333,"<a href=""statss.aspx?playerid=33333&position=OF"">Wyatt Langford</a>",23.0,292.0,0.31406109024738443
18360,"<a href=""statss.aspx?playerid=18360&position=3B"">Austin Riley</a>",28.0,366.0,0.3235757912674995
31347,"<a href=""statss.aspx?playerid=31347&position=SS"">Zach Neto</a>",24.0,266.0,0.3420167934219792
29490,"<a href=""statss.aspx?playerid=29490&position=OF"">Jackson Merrill</a>",22.0,221.0,0.33913470235737886
35108,"<a href=""statss.aspx?playerid=35108&position=OF"">Cam Smith</a>",22.0,266.0,0.3406874420947598
24617,"<a href=""statss.aspx?playerid=24617&position=OF"">Jarren Duran</a>",28.0,391.0,0.3137630989918342
