playerid,Name,Age,PA,wOBA
15640,"<a href=""statss.aspx?playerid=15640&position=OF"">Aaron Judge</a>",33.0,679.0,0.46277131105470437
21534,"<a href=""statss.aspx?playerid=21534&position=C"">Cal Raleigh</a>",28.0,705.0,0.39200781996166983
25764,"<a href=""statss.aspx?playerid=25764&position=SS"">Bobby Witt Jr.</a>",25.0,687.0,0.36028863131912187
19755,"<a href=""statss.aspx?playerid=19755&position=DH"">Shohei Ohtani</a>",30.0,727.0,0.4178216946885941
22799,"<a href=""statss.aspx?playerid=22799&position=SS"">Geraldo Perdomo</a>",25.0,720.0,0.3698901362224638
16252,"<a href=""statss.aspx?playerid=16252&position=SS"">Trea Turner</a>",32.0,639.0,0.35156535943473766
25878,"<a href=""statss.aspx?playerid=25878&position=OF"">Corbin Carroll</a>",24.0,642.0,0.37149713461675615
13510,"<a href=""statss.aspx?playerid=13510&position=3B"">Jose Ramirez</a>",32.0,673.0,0.35964188603254466
12916,"<a href=""statss.aspx?playerid=12916&position=SS"">Francisco Lindor</a>",31.0,732.0,0.3501807249572179
19709,"<a href=""statss.aspx?playerid=19709&position=SS/OF"">Fernando Tatis Jr.</a>",26.0,691.0,0.3532081374473739
20123,"<a href=""statss.aspx?playerid=20123&position=OF"">Juan Soto</a>",26.0,715.0,0.38982828523431506
23697,"<a href=""statss.aspx?playerid=23697&position=OF"">Julio Rodriguez</a>",24.0,710.0,0.3409884508619917
21636,"<a href=""statss.aspx?playerid=21636&position=SS"">Jeremy Pena</a>",27.0,543.0,0.3629105426647045
22715,"<a href=""statss.aspx?playerid=22715&position=3B"">Maikel Garcia</a>",25.0,666.0,0.3469151187446502
27769,"<a href=""statss.aspx?playerid=27769&position=OF"">Pete Crow-Armstrong</a>",23.0,647.0,0.3234034123830497
12856,"<a href=""statss.aspx?playerid=12856&position=OF"">George Springer</a>",35.0,586.0,0.4078920781612396
14161,"<a href=""statss.aspx?playerid=14161&position=OF"">Byron Buxton</a>",31.0,542.0,0.3666271403071157
16478,"<a href=""statss.aspx?playerid=16478&position=DH/OF"">Kyle Schwarber</a>",32.0,724.0,0.39137705031543724
15998,"<a href=""statss.aspx?playerid=15998&position=1B/OF"">Cody Bellinger</a>",29.0,656.0,0.34747452362803105
21479,"<a href=""statss.aspx?playerid=21479&position=2B/SS"">Nico Hoerner</a>",28.0,649.0,0.324089211722215
26289,"<a href=""statss.aspx?playerid=26289&position=SS"">Gunnar Henderson</a>",24.0,651.0,0.33939238232235575
14344,"<a href=""statss.aspx?playerid=14344&position=1B"">Matt Olson</a>",31.0,724.0,0.3663292339799147
22581,"<a href=""statss.aspx?playerid=22581&position=C"">Alejandro Kirk</a>",26.0,506.0,0.3344693310440533
13613,"<a href=""statss.aspx?playerid=13613&position=2B"">Ketel Marte</a>",31.0,556.0,0.38054607012055136
35110,"<a href=""statss.aspx?playerid=35110&position=1B"">Nick Kurtz</a>",22.0,489.0,0.41892504495443755
28163,"<a href=""statss.aspx?playerid=28163&position=3B"">Junior Caminero</a>",21.0,653.0,0.356518121127702
18345,"<a href=""statss.aspx?playerid=18345&position=OF"">Kyle Tucker</a>",28.0,597.0,0.3629035417631497
22186,"<a href=""statss.aspx?playerid=22186&position=2B"">Brice Turang</a>",25.0,659.0,0.34630487177793573
20454,"<a href=""statss.aspx?playerid=20454&position=2B/OF"">Jazz Chisholm Jr.</a>",27.0,531.0,0.3490127379141593
26668,"<a href=""statss.aspx?playerid=26668&position=SS"">Elly De La Cruz</a>",23.0,699.0,0.3325369146115894
19197,"<a href=""statss.aspx?playerid=19197&position=C"">Will Smith</a>",30.0,436.0,0.3892415171382071
27464,"<a href=""statss.aspx?playerid=27464&position=C"">Dillon Dingler</a>",26.0,469.0,0.3261193729009751
33333,"<a href=""statss.aspx?playerid=33333&position=OF"">Wyatt Langford</a>",23.0,573.0,0.3371595635748746
24816,"<a href=""statss.aspx?playerid=24816&position=OF"">Andy Pages</a>",24.0,624.0,0.33191527751011723
15986,"<a href=""statss.aspx?playerid=15986&position=SS"">Willy Adames</a>",29.0,686.0,0.3207774200690787
13624,"<a href=""statss.aspx?playerid=13624&position=SS"">Corey Seager</a>",31.0,445.0,0.36543997128804523
26151,"<a href=""statss.aspx?playerid=26151&position=OF"">Kyle Stowers</a>",27.0,457.0,0.38619400544408666
25816,"<a href=""statss.aspx?playerid=25816&position=C"">Shea Langeliers</a>",27.0,523.0,0.36381869686060936
24617,"<a href=""statss.aspx?playerid=24617&position=OF"">Jarren Duran</a>",28.0,696.0,0.3350495208237288
5361,"<a href=""statss.aspx?playerid=5361&position=1B"">Freddie Freeman</a>",35.0,627.0,0.3697290580118856
19611,"<a href=""statss.aspx?playerid=19611&position=1B"">Vladimir Guerrero Jr.</a>",26.0,680.0,0.3656467213517144
19612,"<a href=""statss.aspx?playerid=19612&position=SS"">Bo Bichette</a>",27.0,628.0,0.36087718320349915
24262,"<a href=""statss.aspx?playerid=24262&position=OF"">Ceddanne Rafaela</a>",24.0,587.0,0.3065042726389349
12552,"<a href=""statss.aspx?playerid=12552&position=3B"">Eugenio Suarez</a>",33.0,657.0,0.3468173504785727
11493,"<a href=""statss.aspx?playerid=11493&position=3B"">Manny Machado</a>",32.0,678.0,0.3411543614255922
16505,"<a href=""statss.aspx?playerid=16505&position=3B"">Matt Chapman</a>",32.0,535.0,0.33623319853111155
20503,"<a href=""statss.aspx?playerid=20503&position=C"">William Contreras</a>",27.0,659.0,0.3315742284287023
19251,"<a href=""statss.aspx?playerid=19251&position=1B"">Pete Alonso</a>",30.0,709.0,0.36833570584316144
29622,"<a href=""statss.aspx?playerid=29622&position=OF"">Sal Frelick</a>",25.0,594.0,0.33226253764998975
17678,"<a href=""statss.aspx?playerid=17678&position=3B"">Alex Bregman</a>",31.0,495.0,0.3555938498518331
18401,"<a href=""statss.aspx?playerid=18401&position=OF"">Ronald Acuna Jr.</a>",27.0,412.0,0.4028523605243832
27479,"<a href=""statss.aspx?playerid=27479&position=SS"">Masyn Winn</a>",23.0,537.0,0.29734385303247757
26319,"<a href=""statss.aspx?playerid=26319&position=1B"">Michael Busch</a>",27.0,592.0,0.36859447440858617
11579,"<a href=""statss.aspx?playerid=11579&position=OF"">Bryce Harper</a>",32.0,580.0,0.3609641829849536
13611,"<a href=""statss.aspx?playerid=13611&position=OF"">Mookie Betts</a>",32.0,663.0,0.31784157628551374
29715,"<a href=""statss.aspx?playerid=29715&position=C"">Hunter Goodman</a>",25.0,579.0,0.3587744185549813
33266,"<a href=""statss.aspx?playerid=33266&position=SS"">Jacob Wilson</a>",23.0,523.0,0.34788482865461934
27467,"<a href=""statss.aspx?playerid=27467&position=1B/OF"">Tyler Soderstrom</a>",23.0,624.0,0.3535302139555143
18314,"<a href=""statss.aspx?playerid=18314&position=SS"">Dansby Swanson</a>",31.0,645.0,0.3095082416319365
17350,"<a href=""statss.aspx?playerid=17350&position=3B"">Rafael Devers</a>",28.0,729.0,0.3650801973482166
29518,"<a href=""statss.aspx?playerid=29518&position=OF"">James Wood</a>",22.0,689.0,0.35281340211148476
27478,"<a href=""statss.aspx?playerid=27478&position=C"">Patrick Bailey</a>",26.0,452.0,0.26539691338049515
12161,"<a href=""statss.aspx?playerid=12161&position=SS"">Xander Bogaerts</a>",32.0,552.0,0.3131875612222365
20352,"<a href=""statss.aspx?playerid=20352&position=2B/3B"">Ernie Clement</a>",29.0,588.0,0.30834983885288236
18030,"<a href=""statss.aspx?playerid=18030&position=OF"">Harrison Bader</a>",31.0,501.0,0.346380784126099
19392,"<a href=""statss.aspx?playerid=19392&position=3B/OF"">Zach McKinstry</a>",30.0,511.0,0.33299771683155205
24610,"<a href=""statss.aspx?playerid=24610&position=OF"">Steven Kwan</a>",27.0,693.0,0.30951694633032
18564,"<a href=""statss.aspx?playerid=18564&position=OF"">Trent Grisham</a>",28.0,581.0,0.3532670625515936
25768,"<a href=""statss.aspx?playerid=25768&position=SS"">CJ Abrams</a>",24.0,635.0,0.32365244561085393
18839,"<a href=""statss.aspx?playerid=18839&position=1B"">Josh Naylor</a>",28.0,604.0,0.3507002030042994
31539,"<a href=""statss.aspx?playerid=31539&position=C"">Drake Baldwin</a>",24.0,446.0,0.3506518264255182
31347,"<a href=""statss.aspx?playerid=31347&position=SS"">Zach Neto</a>",24.0,554.0,0.337106439220163
26294,"<a href=""statss.aspx?playerid=26294&position=2B"">Bryson Stott</a>",27.0,560.0,0.3152057655837848
27562,"<a href=""statss.aspx?playerid=27562&position=C"">Austin Wells</a>",25.0,448.0,0.3022235233245013
29576,"<a href=""statss.aspx?playerid=29576&position=1B/DH"">Ben Rice</a>",26.0,530.0,0.3584577606031389
16442,"<a href=""statss.aspx?playerid=16442&position=1B"">Ryan O'Hearn</a>",31.0,544.0,0.34921390215555825
12564,"<a href=""statss.aspx?playerid=12564&position=SS"">Trevor Story</a>",32.0,654.0,0.3203090862628141
29490,"<a href=""statss.aspx?playerid=29490&position=OF"">Jackson Merrill</a>",22.0,483.0,0.33119709861005914
12927,"<a href=""statss.aspx?playerid=12927&position=OF"">Brandon Nimmo</a>",32.0,652.0,0.3287401940272405
17128,"<a href=""statss.aspx?playerid=17128&position=OF"">Ramon Laureano</a>",30.0,488.0,0.36434990351205
13301,"<a href=""statss.aspx?playerid=13301&position=1B/3B"">Max Muncy</a>",34.0,388.0,0.3660966017394486
28806,"<a href=""statss.aspx?playerid=28806&position=OF"">Jackson Chourio</a>",21.0,589.0,0.32846995980004434
17548,"<a href=""statss.aspx?playerid=17548&position=OF"">Taylor Ward</a>",31.0,663.0,0.33875144356327114
25976,"<a href=""statss.aspx?playerid=25976&position=OF"">Riley Greene</a>",24.0,655.0,0.3432960526658854
18036,"<a href=""statss.aspx?playerid=18036&position=1B/2B"">Jake Cronenworth</a>",31.0,515.0,0.3330861906171548
19290,"<a href=""statss.aspx?playerid=19290&position=OF"">Randy Arozarena</a>",30.0,709.0,0.33227248500395024
19522,"<a href=""statss.aspx?playerid=19522&position=OF"">TJ Friedl</a>",29.0,685.0,0.33261985330679694
16578,"<a href=""statss.aspx?playerid=16578&position=1B/3B/DH"">Yandy Diaz</a>",33.0,651.0,0.3642911937726889
