playerid,Name,Age,IP,ERA,FIP,GS
20778,"<a href=""statss.aspx?playerid=20778&position=P"">Cristopher Sanchez</a>",28.0,108.1,2.243076969151244,2.1659055290673614,16.0
33677,"<a href=""statss.aspx?playerid=33677&position=P"">Paul Skenes</a>",23.0,81.2,1.7632653198496395,2.1188097796823415,15.0
33825,"<a href=""statss.aspx?playerid=33825&position=P"">Yoshinobu Yamamoto</a>",26.0,84.0,2.3571429390992464,2.56370772691,14.0
22286,"<a href=""statss.aspx?playerid=22286&position=P"">Trevor Rogers</a>",27.0,87.2,1.7452471799315097,2.758710455868618,14.0
14107,"<a href=""statss.aspx?playerid=14107&position=P"">Kevin Gausman</a>",34.0,99.0,3.0000000577984447,3.074530256433081,16.0
19959,"<a href=""statss.aspx?playerid=19959&position=P"">Jesus Luzardo</a>",27.0,88.1,3.7698113750214683,2.999287259647455,15.0
22267,"<a href=""statss.aspx?playerid=22267&position=P"">Tarik Skubal</a>",28.0,86.1,2.293436352549573,2.984557163746462,14.0
27463,"<a href=""statss.aspx?playerid=27463&position=P"">Garrett Crochet</a>",26.0,90.0,2.9,3.2573585404290095,14.0
17995,"<a href=""statss.aspx?playerid=17995&position=P"">Logan Webb</a>",28.0,93.1,3.9535715228319193,2.8994220268726343,16.0
2036,"<a href=""statss.aspx?playerid=2036&position=P"">Clayton Kershaw</a>",37.0,74.0,3.527027163390617,3.1486498322427665,14.0
29911,"<a href=""statss.aspx?playerid=29911&position=P"">Andrew Abbott</a>",26.0,86.0,3.8720932379485973,3.7514154221445515,15.0
25436,"<a href=""statss.aspx?playerid=25436&position=P"">George Kirby</a>",27.0,83.1,3.8880000593261728,2.9791363158264166,15.0
18679,"<a href=""statss.aspx?playerid=18679&position=P"">Freddy Peralta</a>",29.0,83.2,2.47410360445808,3.290514805443285,16.0
31872,"<a href=""statss.aspx?playerid=31872&position=P"">Cade Horton</a>",23.0,73.0,1.3561644544295457,2.9570541171200793,14.0
17479,"<a href=""statss.aspx?playerid=17479&position=P"">Jack Flaherty</a>",29.0,76.2,4.460869713190152,3.043831967352018,15.0
17277,"<a href=""statss.aspx?playerid=17277&position=P"">Ranger Suarez</a>",29.0,85.1,4.218750157160691,3.4515425799938395,15.0
14078,"<a href=""statss.aspx?playerid=14078&position=P"">Michael Wacha</a>",33.0,75.2,4.1629957870994,3.3069424935473974,14.0
13543,"<a href=""statss.aspx?playerid=13543&position=P"">Blake Snell</a>",32.0,52.1,2.4076433267268,2.31348026226034,9.0
29839,"<a href=""statss.aspx?playerid=29839&position=P"">Emmet Sheehan</a>",25.0,69.1,2.855769322424601,3.091867086048839,11.0
13743,"<a href=""statss.aspx?playerid=13743&position=P"">Max Fried</a>",31.0,87.1,4.019084027983164,3.398495100667222,15.0
8700,"<a href=""statss.aspx?playerid=8700&position=P"">Justin Verlander</a>",42.0,84.1,3.521739183535055,3.372290471980192,16.0
16162,"<a href=""statss.aspx?playerid=16162&position=P"">Brandon Woodruff</a>",32.0,64.2,3.201031006513945,3.166064154018516,12.0
25377,"<a href=""statss.aspx?playerid=25377&position=P"">Brady Singer</a>",28.0,84.0,3.750000127724243,3.670850622167393,16.0
19755,"<a href=""statss.aspx?playerid=19755&position=DH"">Shohei Ohtani</a>",30.0,43.0,2.9302326231276186,1.8560665223971127,11.0
30279,"<a href=""statss.aspx?playerid=30279&position=P"">Bryan Woo</a>",25.0,85.1,2.953125044004992,3.275761320302263,14.0
27782,"<a href=""statss.aspx?playerid=27782&position=P"">Brandon Pfaadt</a>",26.0,91.1,5.124087769587989,3.5402458213579746,16.0
25880,"<a href=""statss.aspx?playerid=25880&position=P"">Hunter Brown</a>",26.0,87.1,3.1946565699489824,3.5931515970525196,15.0
27768,"<a href=""statss.aspx?playerid=27768&position=P"">Eury Perez</a>",22.0,79.1,3.8571429682307485,3.588917843880993,16.0
12317,"<a href=""statss.aspx?playerid=12317&position=P"">Colin Rea</a>",34.0,81.0,3.555555723004552,3.3820499100821033,14.0
14374,"<a href=""statss.aspx?playerid=14374&position=P"">Tyler Glasnow</a>",31.0,72.1,2.8617512023811726,3.328684708705997,13.0
15689,"<a href=""statss.aspx?playerid=15689&position=P"">Luis Castillo</a>",32.0,84.1,3.521739183535055,3.538298379621575,15.0
23301,"<a href=""statss.aspx?playerid=23301&position=P"">Janson Junk</a>",29.0,78.2,4.347457714958872,3.56733971676995,14.0
30146,"<a href=""statss.aspx?playerid=30146&position=P"">Jack Leiter</a>",25.0,80.1,3.4730292243062406,3.7699911226498637,15.0
15440,"<a href=""statss.aspx?playerid=15440&position=P"">Matthew Boyd</a>",34.0,88.0,3.7840909500998903,3.680590869572537,15.0
15454,"<a href=""statss.aspx?playerid=15454&position=P"">Nick Pivetta</a>",32.0,90.2,2.3823530330583744,3.6755775155209554,15.0
22250,"<a href=""statss.aspx?playerid=22250&position=P"">Logan Gilbert</a>",28.0,85.1,3.3750001257285525,3.463261330430397,16.0
23335,"<a href=""statss.aspx?playerid=23335&position=P"">Joey Cantillo</a>",25.0,67.0,2.955224006790503,3.2097631870651333,13.0
20191,"<a href=""statss.aspx?playerid=20191&position=P"">Garrett Whitlock</a>",29.0,31.0,0.5806452176697475,1.1673941916593096,0.0
26378,"<a href=""statss.aspx?playerid=26378&position=P"">Nick Lodolo</a>",27.0,62.0,3.0483872374436425,3.36094278023965,11.0
9132,"<a href=""statss.aspx?playerid=9132&position=P"">Nathan Eovaldi</a>",35.0,57.2,1.560693658825358,3.239182562128478,9.0
35333,"<a href=""statss.aspx?playerid=35333&position=P"">Chase Burns</a>",22.0,38.0,3.315789723330276,2.161452034371706,6.0
31757,"<a href=""statss.aspx?playerid=31757&position=P"">Mason Miller</a>",26.0,31.0,0.5806452355325379,1.3286844743277806,0.0
18684,"<a href=""statss.aspx?playerid=18684&position=P"">Sandy Alcantara</a>",29.0,94.2,3.9929577732956427,3.8956997035964336,15.0
22182,"<a href=""statss.aspx?playerid=22182&position=P"">Hunter Greene</a>",25.0,48.0,2.812500055879356,3.0518029832177693,8.0
19291,"<a href=""statss.aspx?playerid=19291&position=P"">Zac Gallen</a>",29.0,95.0,3.8842105653081247,3.7667152719154253,16.0
27572,"<a href=""statss.aspx?playerid=27572&position=P"">Carmen Mlodzinski</a>",26.0,47.2,1.8881119510714641,2.0022691475639087,3.0
