Name,Team,Season,Age,G,PA,AB,H,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,maxEV,LA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,GB%,FB%,LD%,Pull%,Cent%,Oppo%,Spd,BaseRunning,UBR,wBsR,Defense,Fielding,Offense
Aaron Judge,NYY,2024,32.0,158.0,704.0,559.0,180.0,58.0,0.322003577,0.458036984,0.701252236,1.15928922,0.379248659,0.367469879,0.4757340011100992,0.4809395285213695,219.7835722854021,11.328769615587797,0.242897727,0.188920454,0.2685422,0.6112532,96.23058925128535,117.5,18.894601542416453,0.21256606,0.71912014,0.42010399,0.48895028,0.80705882,0.7120462,0.12088673,0.305128205,0.461538461,0.233333333,0.4,0.34871795,0.25128205,3.920110021496349,-0.47041497379541397,2.299999952316284,0.3662685975432396,-9.650920391082764,-6.219850063323975,96.01807889250114
Bobby Witt Jr.,KCR,2024,24.0,161.0,709.0,636.0,211.0,32.0,0.331761006,0.389280677,0.588050314,0.977330991,0.256289308,0.35375494,0.40973835374627793,0.40694056919642857,169.13393177564416,10.492873548731431,0.149506346,0.080394922,0.14312268,0.48327138,92.7327123025093,116.9,15.118959107806692,0.35448718,0.74783446,0.51173528,0.69981917,0.88416988,0.8075188,0.09838586,0.369888475,0.444237918,0.185873605,0.35130112,0.38475836,0.26394052,7.2023241576855455,4.485307462513447,3.0,-0.07282041758298874,17.537985801696777,10.476944923400879,60.5698393393949
Shohei Ohtani,LAD,2024,29.0,159.0,731.0,636.0,197.0,54.0,0.309748427,0.39010989,0.646226415,1.036336305,0.336477988,0.336470588,0.43054929176412915,0.44389798050139273,179.6782932394558,8.94827035320752,0.221614227,0.110807113,0.21369295,0.59751037,95.8046057792887,119.2,16.198744769874477,0.30466384,0.70513901,0.4721635,0.5944334,0.81959379,0.73507463,0.12508809,0.359832635,0.40376569,0.236401673,0.42379958,0.34655532,0.22964509,8.105655160534827,9.73005823045969,1.8999998569488525,8.798800624907017,-17.17592430114746,,79.3796674337648
Juan Soto,NYY,2024,25.0,157.0,713.0,576.0,166.0,41.0,0.288194444,0.419354838,0.569444444,0.988799282,0.28125,0.297619047,0.4205848819428188,0.4636422871534512,180.99055562627643,8.301121584064731,0.16690042,0.180925666,0.19739696,0.56832972,94.1859375,115.7,10.672527472527472,0.21299435,0.60084034,0.36891892,0.67374005,0.86433566,0.7985348,0.07409902,0.436403508,0.359649122,0.203947368,0.45119306,0.34707158,0.20173536,4.300614076383838,-3.86134747415781,-4.300000190734863,-1.964250959455967,-5.459114074707031,1.9208569526672363,62.212487700611234
Gunnar Henderson,BAL,2024,23.0,159.0,719.0,630.0,177.0,37.0,0.28095238,0.364394993,0.528571428,0.892966421,0.247619048,0.319634703,0.38146476194387025,0.37391566563319495,153.79507079266284,7.897782618080203,0.221140472,0.108484005,0.11157895,0.53894737,92.80421776107595,113.1,9.216842105263158,0.26157547,0.68613139,0.44233425,0.62298851,0.85815603,0.7782982,0.09782983,0.467368421,0.326315789,0.206315789,0.39157895,0.37684211,0.23157895,6.711413310786194,3.957653135061264,2.9000000953674316,1.1119838654994965,4.435053586959839,-2.4682371616363525,48.21414458620112
Francisco Lindor,NYM,2024,30.0,152.0,689.0,618.0,169.0,33.0,0.273462783,0.343976777,0.5,0.843976777,0.226537217,0.295010845,0.36288581496572286,0.38103285501169604,136.87564878805517,7.677316123553172,0.184325108,0.081277213,0.13562753,0.47368421,90.8898389862805,112.7,17.03252032520325,0.30506246,0.7147651,0.48507188,0.66163793,0.85446009,0.78647416,0.10346097,0.344827586,0.432048681,0.223123732,0.4534413,0.34008097,0.20647773,5.650956853192346,3.9963899105787277,2.2000001668930054,2.885617181658745,16.923065662384033,10.283835411071777,34.37865693071636
Jarren Duran,BOS,2024,27.0,160.0,735.0,671.0,191.0,21.0,0.284649776,0.341961852,0.491803278,0.83376513,0.207153502,0.344827586,0.3568673902286514,0.33954088805151766,130.74070663303564,6.829440276590756,0.217687074,0.073469387,0.09320388,0.43883495,90.78228038877953,113.9,9.467583497053045,0.31238447,0.70819672,0.48223707,0.60157791,0.88657407,0.78118162,0.10533708,0.46561886,0.351669941,0.182711198,0.3223301,0.38058252,0.29708738,7.982662395677068,8.32972814887762,2.099999964237213,2.6469207033514977,7.592237710952759,9.345781326293945,34.18248090514783
Elly De La Cruz,CIN,2024,22.0,160.0,696.0,618.0,160.0,25.0,0.258899676,0.338616714,0.470873786,0.8094905,0.21197411,0.359042553,0.34864824028373453,0.3298914370329484,119.26510609565474,6.547004986986484,0.31321839,0.099137931,0.12655087,0.45657568,91.82885680379746,114.7,9.712121212121213,0.29652227,0.62410072,0.42893493,0.49794239,0.8054755,0.67881356,0.13761801,0.46347607,0.329974811,0.206549118,0.43920596,0.34243176,0.21836228,8.693407955542142,7.455960392951965,,5.641325235366821,16.633349895477295,9.478001594543457,23.489962231804483
Jose Ramirez,CLE,2024,31.0,158.0,682.0,620.0,173.0,39.0,0.279032258,0.334801762,0.537096774,0.871898536,0.258064516,0.265346534,0.3642762730118049,0.3333672949729657,141.43936858837043,6.401320099809173,0.120234604,0.079178885,0.08623853,0.39633028,89.20753389246323,116.6,19.59926470588235,0.34830769,0.70630631,0.49360146,0.78268551,0.92219388,0.8637037,0.06715328,0.341911764,0.488970588,0.169117647,0.52757353,0.27757353,0.19485294,6.627416628901248,6.287817373871803,0.5,4.291585817933083,0.7603306770324707,2.317258596420288,38.62506940497562
Ketel Marte,ARI,2024,30.0,136.0,583.0,504.0,147.0,36.0,0.291666666,0.372212692,0.559523809,0.931736501,0.267857143,0.299191374,0.3909995480337077,0.39414922007313974,151.5932209536712,6.320760103914782,0.181818181,0.111492281,0.12285012,0.53562654,94.12718204488777,117.0,9.441396508728179,0.29258354,0.73311547,0.48111888,0.67409471,0.87964339,0.80813953,0.09213588,0.481481481,0.345679012,0.172839506,0.51842752,0.30958231,0.17199017,4.320483194670562,0.9337562546133995,2.0000000447034836,-0.18097732216119766,4.808252692222595,5.585573673248291,36.902269011095676
