Name,Team,Season,Age,G,PA,AB,H,HR,AVG,OBP,SLG,OPS,ISO,BABIP,wOBA,xwOBA,wRC+,WAR,K%,BB%,Barrel%,HardHit%,EV,maxEV,LA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,GB%,FB%,LD%,Pull%,Cent%,Oppo%,Spd,BaseRunning,UBR,wBsR,Defense,Fielding,Offense
Trea Turner,- - -,2021,28.0,148.0,646.0,595.0,195.0,28.0,0.327731092,0.374613003,0.536134453,0.910747456,0.208403361,0.362255965,0.3861617553308143,0.363471616465726,142.50758213473318,7.122755049095696,0.170278637,0.063467492,0.07361963,0.46216769,89.57618190130904,112.2,11.371663244353183,0.30693069,0.73600746,0.49195495,0.63133641,0.88086185,0.79231398,0.10213108,0.45194274,0.337423312,0.210633946,0.37627812,0.37423313,0.24948875,6.365253517999355,7.604307037079707,3.299999952316284,3.704442840302363,6.799076080322266,1.8442301750183105,42.56227375587561
Fernando Tatis Jr.,SDP,2021,22.0,130.0,546.0,478.0,135.0,42.0,0.282426778,0.364468864,0.610878661,0.975347525,0.328451883,0.324041811,0.40267823228129634,0.4067112957989728,157.6987803343458,6.823325630496203,0.28021978,0.113553113,0.21276596,0.556231,93.88322932545732,116.6,13.762195121951219,0.33257919,0.80613497,0.51284447,0.47845805,0.8021309,0.67213115,0.16814573,0.402439024,0.399390243,0.198170731,0.48024316,0.30395137,0.21580547,5.320526052793853,5.697906719520688,5.099999666213989,2.9120046962052584,3.9262199103832245,0.3836967647075653,45.803645383059276
Juan Soto,WSN,2021,22.0,151.0,654.0,502.0,157.0,29.0,0.312749003,0.464831804,0.533864541,0.998696345,0.221115538,0.332467532,0.42023942209839255,0.4285381498790923,163.69397404985946,6.7840680128691835,0.142201834,0.221712538,0.13285024,0.52657005,92.9506091101695,116.6,5.7772397094431,0.1514154,0.6284658,0.34986544,0.62608696,0.88676471,0.82087912,0.0626682,0.526570048,0.287439613,0.185990338,0.3115942,0.43478261,0.25362319,3.5002715790706445,-3.1650142609141767,0.5,-1.9224423109553754,-4.149783611297607,2.3728489875793457,49.86519475275939
Bryce Harper,PHI,2021,28.0,141.0,599.0,488.0,151.0,35.0,0.309426229,0.42881072,0.614754098,1.043564818,0.305327869,0.359133126,0.4308981269751364,0.43139724338852115,170.48425745080436,6.650489882229056,0.223706176,0.166944908,0.18055556,0.49722222,92.4777755519943,116.3,13.307692307692308,0.29436039,0.74524313,0.47208333,0.54205607,0.78865248,0.69549868,0.14369013,0.407407407,0.373219373,0.219373219,0.38055556,0.34444444,0.275,4.349783554815411,-0.2469428712502122,-2.4999999403953552,0.7807369297370315,-7.273217082023621,-1.0152162313461304,53.50153813910201
Jose Ramirez,CLE,2021,28.0,152.0,636.0,552.0,147.0,36.0,0.266304347,0.355345911,0.538043478,0.893389389,0.271739131,0.255760368,0.37188066832554606,0.37458958021136385,139.77967140015403,6.431649223892501,0.136792452,0.113207547,0.1106383,0.42340426,89.95900952253218,112.6,18.27467811158798,0.27478043,0.65679926,0.42915888,0.76484018,0.93239437,0.8684669,0.0564486,0.356076759,0.452025586,0.191897654,0.56808511,0.27659574,0.15531915,7.009801035055299,5.665071342373267,2.4999998807907104,3.2332867125514895,5.726294048130512,5.822316646575928,36.640716716098034
Bryan Reynolds,PIT,2021,26.0,159.0,646.0,559.0,169.0,24.0,0.302325581,0.390092879,0.522361359,0.912454238,0.220035778,0.345238095,0.3850083169607764,0.3849686029389149,139.8216033903613,6.331664431825346,0.184210526,0.116099071,0.1036036,0.40765766,89.37800276360544,112.7,13.34013605442177,0.28426052,0.78213935,0.48776574,0.58711217,0.8782936,0.77796053,0.10830325,0.389140271,0.355203619,0.255656108,0.4221219,0.34085779,0.23702032,5.126238759293857,0.4462132193148136,2.5999998450279236,-0.44101014360785484,8.276915311813354,7.156088352203369,33.19524800555502
Vladimir Guerrero Jr.,TOR,2021,22.0,161.0,698.0,604.0,188.0,48.0,0.311258278,0.401146131,0.600993377,1.002139508,0.289735099,0.3125,0.4190476244334374,0.42227203901423965,165.70161871862166,6.312337527778798,0.157593123,0.123209169,0.15120968,0.55241935,95.12190986308316,117.4,9.373225152129818,0.28288169,0.76104418,0.47269829,0.55841121,0.84036939,0.7386172,0.1235552,0.447580645,0.364919354,0.1875,0.39919355,0.35483871,0.24596774,3.118893831728269,-1.3568698696326464,-0.10000002384185791,-0.286714845104143,-15.736379861831665,-2.910020112991333,54.791034151780664
Carlos Correa,HOU,2021,26.0,148.0,640.0,555.0,155.0,26.0,0.279279279,0.365625,0.484684684,0.850309684,0.205405405,0.307875894,0.36358570921757377,0.36978247472111336,132.95456314337574,6.2818810292681215,0.18125,0.1171875,0.09438202,0.42696629,90.2123595505618,116.4,12.143820224719102,0.27001985,0.62784349,0.42068966,0.65441176,0.8942029,0.80510018,0.08199234,0.415730337,0.348314606,0.235955056,0.36711712,0.35585586,0.27702703,2.40756302125,-1.1417513962369412,1.0,-0.5852511401753873,16.05579710006714,9.344550132751465,24.680707185036564
Brandon Crawford,SFG,2021,34.0,138.0,549.0,483.0,144.0,24.0,0.298136645,0.373406193,0.52173913,0.895145323,0.223602485,0.334261838,0.37713274529845237,0.35332389255474506,139.67776093736074,6.197038937576988,0.19125683,0.102003642,0.11488251,0.43342037,88.77775278141361,109.8,14.68324607329843,0.32060461,0.79522184,0.5159176,0.55831266,0.8211731,0.72504537,0.14185393,0.397905759,0.413612565,0.188481675,0.36814621,0.37075718,0.26109661,5.063647432813147,-1.598124626558274,-1.5,0.456032392103225,17.25060272216797,11.254376411437988,26.13295288855218
Cedric Mullins,BAL,2021,26.0,159.0,675.0,602.0,175.0,30.0,0.290697674,0.359583952,0.518272425,0.877856377,0.227574751,0.32150776,0.3716875475734027,0.34218601966971784,135.59351174497044,6.088666357900916,0.185185185,0.087407407,0.08074534,0.39337474,89.38816397991543,109.7,14.788583509513742,0.30020562,0.64481842,0.45054096,0.71689498,0.87774725,0.81732419,0.08230294,0.389830508,0.411016949,0.199152542,0.43568465,0.32365145,0.2406639,6.111196525713982,2.5003596080932766,0.40000009536743164,2.0738533867988735,5.695579290390015,3.852301597595215,31.91588895795251
